E_38_0	E_38_1	E_38_2	E_51_0	E_51_1	E_51_2	C_38_0	C_38_1	C_38_2	C_51_0	C_51_1	C_51_2
E_38_0	1	0.174191107847901	0.124195054865403	-0.0665620028555444	-0.0978531677406076	-0.205076750411323	-0.0778262626674814	-0.130170215623752	0.0216799029818561	-0.207813560644061	-0.317486369503844	-0.247193169121267
E_38_1	0.174191107847901	1	0.262164091051047	-0.236771236608304	-0.248444895603648	-0.217365315932864	0.0136665755671641	-0.00921589831288576	0.0083419868006663	-0.235581683898078	-0.179415530771736	-0.226111194621272
E_38_2	0.124195054865403	0.262164091051047	1	-0.245166232683602	-0.244986100621916	-0.222432824381396	0.0291928718884971	-0.00285353708774837	0.0223711537588531	-0.236169460463904	-0.171021510663322	-0.218388748728321
E_51_0	-0.0665620028555444	-0.236771236608304	-0.245166232683602	1	0.214097546776952	0.147542491518764	-0.241522568077478	-0.210294828991709	-0.184432183663008	-0.0327669797285539	-0.136294734014843	-0.0871567854326432
E_51_1	-0.0978531677406076	-0.248444895603648	-0.244986100621916	0.214097546776952	1	0.150238403423489	-0.250502102580338	-0.218657072619545	-0.223272284176313	-0.00666805774181287	-0.10635204797335	-0.0543178241297459
E_51_2	-0.205076750411323	-0.217365315932864	-0.222432824381396	0.147542491518764	0.150238403423489	1	-0.260907463405809	-0.21579403299471	-0.258981249358681	0.0304159097915646	0.00973693824467145	0.0166863268704509
C_38_0	-0.0778262626674814	0.0136665755671641	0.0291928718884971	-0.241522568077478	-0.250502102580338	-0.260907463405809	1	0.230702027755037	0.259700954625484	-0.260025299314798	-0.181272279576608	-0.2000219810005
C_38_1	-0.130170215623752	-0.00921589831288576	-0.00285353708774837	-0.210294828991709	-0.218657072619545	-0.21579403299471	0.230702027755037	1	0.172191980257239	-0.234576023067301	-0.158503135608132	-0.188158284842886
C_38_2	0.0216799029818561	0.0083419868006663	0.0223711537588531	-0.184432183663008	-0.223272284176313	-0.258981249358681	0.259700954625484	0.172191980257239	1	-0.263659405428055	-0.257359274015174	-0.257271912541943
C_51_0	-0.207813560644061	-0.235581683898078	-0.236169460463904	-0.0327669797285539	-0.00666805774181287	0.0304159097915646	-0.260025299314798	-0.234576023067301	-0.263659405428055	1	0.277967193550268	0.177140027300315
C_51_1	-0.317486369503844	-0.179415530771736	-0.171021510663322	-0.136294734014843	-0.10635204797335	0.00973693824467145	-0.181272279576608	-0.158503135608132	-0.257359274015174	0.277967193550268	1	0.205918900132703
C_51_2	-0.247193169121267	-0.226111194621272	-0.218388748728321	-0.0871567854326432	-0.0543178241297459	0.0166863268704509	-0.2000219810005	-0.188158284842886	-0.257271912541943	0.177140027300315	0.205918900132703	1
