# Modified from files "genes.fpkm_tracking" and "0_XLOC-LOC_ID_Conversion.txt"
gene_ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
XLOC_000004	22.9021	188.856	87.1416	17.9241
XLOC_000024	1621.28	396.494	1237.51	331.184
XLOC_000029	877.265	1901.53	1644.58	2458.91
XLOC_000030	424.136	1142.73	873.067	730.085
XLOC_000032	97.0228	0	70.2799	328.976
XLOC_000033	73.6739	0	253.356	293.069
XLOC_000102	0	0	17.7769	57.2718
XLOC_000106	216.733	18.2564	63.1681	4.27284
XLOC_000145	50.0707	235.208	99.0801	186.621
XLOC_000154	11723.7	2293.52	4023.96	2297.35
XLOC_000155	1261.58	587.097	466.18	596.547
XLOC_000157	285.619	21.0914	7.85644	0
XLOC_000158	70.3596	0	1.8556	0
XLOC_000163	18.249	342.325	141.356	427.79
XLOC_000165	3817.64	3970.86	6017.71	6010.07
XLOC_000172	124.407	123.112	0	574.387
XLOC_000175	547.504	13.4427	232.878	18.7933
XLOC_000183	0	31.0015	4.42126	4.99463
XLOC_000188	36.7725	69.3611	18.3788	23.3013
XLOC_000203	0	243.039	66.6415	352.588
XLOC_000210	0	0	47.9144	11.5664
XLOC_000212	1085.84	2110.52	352.08	9247.45
XLOC_000213	164.219	293.927	60.7607	892.23
XLOC_000214	30.2829	62.8579	14.3826	130.341
XLOC_000216	3.98914	32.9509	1.16025	75.4082
XLOC_000217	50.6777	359.379	30.8253	666.797
XLOC_000224	177.817	120.422	73.0412	94.516
XLOC_000226	911.109	494.187	912.221	431.294
XLOC_000239	53.5324	147.295	163.434	353.787
XLOC_000240	89.073	80.7716	134.504	235.53
XLOC_000245	148.466	0	14.4679	0
XLOC_000246	25514.8	2157.32	20059.4	1400.95
XLOC_000248	1302.56	537.257	981.287	745.798
XLOC_000249	470.419	249.766	323.18	332.258
XLOC_000251	37.208	0	29.9628	19.419
XLOC_000255	175.979	159.053	191.958	278.963
XLOC_000263	17.4433	0	16.1146	8.427
XLOC_000273	605.078	0.544039	7.70231	3.02659
XLOC_000281	2939.16	3644.66	1207.65	1618.91
XLOC_000290	127.307	41.483	88.0232	0
XLOC_000296	972.486	670.695	2645.11	6.54591
XLOC_000297	136.627	18.9396	38.2454	4.44793
XLOC_000298	303.18	21.5458	95.2036	15.8933
XLOC_000300	32.4789	882.44	229.338	1738.08
XLOC_000301	48.6169	0	0.784923	0
XLOC_000306	404.412	0	0	0
XLOC_000307	553.43	0	0	0
XLOC_000309	333.897	166.67	360.699	243.94
