ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105343409-XLOC_024747-1-phosphatidylinositol_4,5-bisphosphate_phosphodiesterase_beta-4	13.9222	0	0	146.067
LOC105343409-XLOC_024752-1-phosphatidylinositol_4,5-bisphosphate_phosphodiesterase_beta-4	28.17	211.983	345.145	182.292
LOC105342681-XLOC_020239-1-phosphatidylinositol_4,5-bisphosphate_phosphodiesterase_eta-2	570.866	344.693	837.478	524.693
LOC105336114-XLOC_005643-A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_20	240.171	46.1525	123.769	24.685
LOC105333235-XLOC_015478-A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_9	182.403	1327.69	0	445.031
LOC105333235-XLOC_015481-A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_9	526.021	269.245	168.711	283.747
LOC105318104-XLOC_012379-EF-hand_domain-containing_protein_D2	1134.8	942.483	970.387	531.767
LOC105320897-XLOC_007183-FK506-binding_protein_2	1296.5	767.843	1308.24	1930.82
LOC117688268-XLOC_000473-NADPH_oxidase_5-like	596.465	0	89.6809	90.3609
LOC105347203-XLOC_031188-SPARC	519.272	307.504	539.046	249.764
LOC105342880-XLOC_037752-alpha-amylase	238.961	96.2438	431.614	290.292
LOC105348748-XLOC_002488-alpha-amylase	172.127	42.7704	203.677	126.936
LOC105348751-XLOC_002490-alpha-amylase	398.546	107.59	391.825	310.394
LOC105317894-XLOC_003720-annexin_A7	187.754	152.435	150.781	102.092
LOC105348537-XLOC_026129-annexin_A7	4972.43	5942.83	4473.1	3623.39
LOC105349178-XLOC_031598-annexin_A7	793.478	801.82	1577.07	512.461
LOC105349178-XLOC_031599-annexin_A7	364.917	476.717	957.702	432.221
LOC105338532-XLOC_029521-annexin_B9	351.218	197.299	316.792	316.045
LOC105328347-XLOC_026681-cadherin-23	105.561	507.273	147.329	27.9464
LOC105341103-XLOC_027068-calcium_uptake_protein_1,_mitochondrial	360.253	435.561	230.031	280.278
LOC105332764-XLOC_005648-calcium-binding_mitochondrial_carrier_protein_SCaMC-2	334.087	190.806	241.085	265.552
LOC105328203-XLOC_004109-calcium-dependent_protein_kinase_22	253.369	64.3753	191.324	57.0997
LOC105335066-XLOC_030351-calcium-dependent_protein_kinase_C	1512.75	1066.31	1061.6	796.557
LOC105327139-XLOC_012998-calcium-transporting_ATPase_sarcoplasmic/endoplasmic_reticulum_type	6255.28	7030.97	5976.87	8740.33
LOC105322085-XLOC_021665-calmodulin	1946.65	1133.71	1241.59	1244.4
LOC105327998-XLOC_022523-calmodulin-A	1331.29	835.35	576.976	811.284
LOC105328000-XLOC_022522-calmodulin-A	190.928	85.4966	60.7021	93.2587
LOC105328371-XLOC_008787-calmodulin-beta	214.783	97.2375	183.858	148.557
LOC105337008-XLOC_023318-calpain-B	753.725	460.692	538.338	441.818
LOC105342224-XLOC_038897-caltractin	25119.3	12265.6	16511.5	8388.52
LOC105333628-XLOC_018392-calumenin	851.698	713.797	552.032	966.259
LOC105346972-XLOC_008124-caspase-3-like	591.398	1155.21	104.355	1612.32
LOC105336998-XLOC_023306-centrin-3	572.886	420.966	311.848	238.128
LOC105335062-XLOC_014274-copine-8	385.099	198.219	0	55.138
LOC105328206-XLOC_036713-copine-9-like	50.7692	19.5728	5.4474	0
LOC105325327-XLOC_022470-dual_oxidase_2	88.1584	157.809	90.2334	32.7433
LOC105331097-XLOC_017516-dual_oxidase	365.576	275.163	281.935	187.045
LOC105334530-XLOC_036034-dystrophin	275.792	208.477	186.053	109.743
LOC105321018-XLOC_027640-eukaryotic_elongation_factor_2_kinase	38.9775	24.623	87.7204	23.112
LOC105321018-XLOC_027641-eukaryotic_elongation_factor_2_kinase	1029.98	1008.62	2442.82	797.593
LOC105321018-XLOC_027642-eukaryotic_elongation_factor_2_kinase	114.142	69.6885	266.998	77.0463
LOC105338038-XLOC_024917-fibrillin-1	2566.96	1518.73	4077.76	1888.66
LOC105337580-XLOC_003471-furin-like_protease_kpc-1	18.4988	0	19.1351	81.3342
LOC105341587-XLOC_014722-gelsolin-like_protein_2	573.661	408.15	461.37	289.601
LOC105327452-XLOC_026148-leucine-rich_repeat-containing_protein_74A	1536.43	2842.3	6532.3	2327.62
LOC105348746-XLOC_005423-leucine-rich_repeat-containing_protein_74A	139.142	44.4093	87.5407	67.6283
LOC105346875-XLOC_002277-low_affinity_vacuolar_monovalent_cation/H(+)_antiporter	266.182	140.611	142.008	210.155
LOC105333479-XLOC_032018-matrix_metalloproteinase-24	61.0417	42.7572	150.424	45.6033
LOC105323136-XLOC_026612-microtubule-actin_cross-linking_factor_1	251.771	219.529	361.81	421.774
LOC105323136-XLOC_026618-microtubule-actin_cross-linking_factor_1	347.75	434.602	288.24	305.059
LOC105323136-XLOC_026623-microtubule-actin_cross-linking_factor_1	67.8525	115.869	74.1548	76.2533
LOC105327339-XLOC_005034-microtubule-actin_cross-linking_factor_1	838.95	434.621	918.521	365.771
LOC105327339-XLOC_005037-microtubule-actin_cross-linking_factor_1	396.97	463.365	409.558	282.449
LOC105327339-XLOC_005039-microtubule-actin_cross-linking_factor_1	498.967	473.397	522.56	299.187
LOC105318502-XLOC_026279-myosin_regulatory_light_polypeptide_9	476.194	292.837	449.196	364.449
LOC105331423-XLOC_030557-pancreatic_lipase-related_protein_2	395.5	132.96	311.041	214.012
LOC105329571-XLOC_032597-pancreatic_triacylglycerol_lipase	1036.83	177.79	1360.67	309.901
LOC105320938-XLOC_021241-peptidylglycine_alpha-amidating_monooxygenase	156.891	104.004	170.366	113.337
LOC105337122-XLOC_027518-peroxidasin	267.167	367.339	195.024	484.117
LOC105337122-XLOC_027519-peroxidasin	195.932	348.634	185.858	323.391
LOC105337122-XLOC_027521-peroxidasin	389.913	330.617	220.781	364.517
LOC105323311-XLOC_028739-polycystic_kidney_disease_2-like_1_protein	1572.13	1515.25	1270.3	1287.32
LOC105321511-XLOC_013358-protein_retinal_degeneration_B	54.0935	62.013	26.4665	45.5769
LOC105323183-XLOC_018434-protocadherin_Fat_3	521.833	281.737	667.44	283.928
LOC105328313-XLOC_016523-protocadherin_Fat_4	483.73	1018.95	0	213.135
LOC105346939-XLOC_031469-protocadherin_Fat_4	1345.16	2556.52	1840.17	3779.03
LOC105347107-XLOC_002908-protocadherin_beta-15	284.38	60.111	0	392.653
LOC105319194-XLOC_026495-protocadherin-like_wing_polarity_protein_stan	95.5684	23.762	896.257	215.79
LOC105339011-XLOC_007300-putative_protocadherin_beta-18	136.315	99.6694	165.591	205.085
LOC105319166-XLOC_018547-ras_and_EF-hand_domain-containing_protein_homolog	171.293	292.554	246.353	186.02
LOC105317808-XLOC_021757-ras_guanyl-releasing_protein_3	0	75.8344	7.37343	0
LOC105345859-XLOC_014966-ryncolin-1	51.2046	305.559	197.013	249.838
LOC105334536-XLOC_038929-sarcoplasmic_calcium-binding_protein	9882.41	4664.06	12848.9	9122.52
LOC105323822-XLOC_015001-serine-rich_adhesin_for_platelets	110.845	198.789	0	19.7671
LOC105323822-XLOC_015002-serine-rich_adhesin_for_platelets	39.1563	0	7.29798	8.24441
LOC105331976-XLOC_015728-serine-rich_adhesin_for_platelets	183.103	6.71362	87.6616	49.1805
LOC105340116-XLOC_021553-sodium/calcium_exchanger_2	958.21	684.173	394.967	700.048
LOC105340116-XLOC_021562-sodium/calcium_exchanger_2	99.4046	236.935	0	18.9877
LOC105338896-XLOC_008659-stromelysin-3	103.551	76.768	47.8362	30.5789
LOC105335512-XLOC_031273-suppressor_of_tumorigenicity_14_protein_homolog	1226.46	221.095	980.203	484.688
LOC105318017-XLOC_004110	8447.45	3705.74	8728.18	2196.59
LOC105321242-XLOC_003360	17547.1	5910.82	17436	6309.64
LOC105321376-XLOC_029826	5063.72	2339.34	5108.85	74.8583
LOC105323679-XLOC_010420	961.913	275.27	1052.23	359.834
LOC105324594-XLOC_004116	557.739	43.1544	294.914	54.8519
LOC105325250-XLOC_000993	306.2	41.2405	911.784	58.8312
LOC105328124-XLOC_009861	621.836	134.778	668.921	260.433
LOC105328194-XLOC_004108	0	75.012	124.482	131.229
LOC105328221-XLOC_004110	8447.45	3705.74	8728.18	2196.59
LOC105335615-XLOC_010660	230.978	42.2291	142.201	50.4334
LOC105336047-XLOC_026656	607.368	610.895	3280.29	0
LOC105338609-XLOC_003295	22033.8	6394.58	34144	9184.06
LOC105338610-XLOC_006193	13963.4	2541.5	12326.4	3233.94
LOC105338611-XLOC_006192	34669.9	10756.5	38527	18246.2
LOC105339995-XLOC_038003	0	29.0075	84.1498	65.7063
LOC105345409-XLOC_005232	186.831	24.2962	194.725	37.4715
LOC105345652-XLOC_002895	328.273	129.003	411.956	102.465
LOC105349106-XLOC_035702	1542.05	1022.88	1240.87	550.561
LOC117681096-XLOC_004110	8447.45	3705.74	8728.18	2196.59
LOC117681096-XLOC_004113	3050.71	642.07	3799.46	804.513
LOC117681097-XLOC_004113	3050.71	642.07	3799.46	804.513
LOC105342560-XLOC_014431-voltage-dependent_calcium_channel_subunit_alpha-2/delta-2	500.677	0	381.641	51.7958
LOC105342011-XLOC_028083-zinc_metalloproteinase_nas-39-like	531.33	125.537	463.864	292.529
