ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105328194|XLOC_004108|uncharacterized	0	75.012	124.482	131.229
LOC105344505|XLOC_004348|calnexin-like	266.875	409.614	209.259	235.469
LOC105327339|XLOC_005037|microtubule-actin_cross-linking_factor_1	396.97	463.365	409.558	282.449
LOC105338611|XLOC_006192|uncharacterized	34669.9	10756.5	38527	18246.2
LOC105320897|XLOC_007183|FK506-binding_protein_2	1296.5	767.843	1308.24	1930.82
LOC105339011|XLOC_007300|putative_protocadherin_beta-18	136.315	99.6694	165.591	205.085
LOC105338115|XLOC_009932|synaptotagmin-1	123.383	55.417	184.853	114.411
LOC105325414|XLOC_011951|uncharacterized	1652.34	1321.15	762.94	808.652
LOC105331976|XLOC_015728|serine-rich_adhesin_for_platelets	183.103	6.71362	87.6616	49.1805
LOC105320526|XLOC_016565|uncharacterized	187.253	164.918	136.292	302.791
LOC105333628|XLOC_018392|calumenin	851.698	713.797	552.032	966.259
LOC105332768|XLOC_018590|uncharacterized	3253.17	3814.8	4542.01	551.784
LOC105346053|XLOC_019959|protein_eyes_shut	844.713	7.67215	852.209	158.863
LOC105328023|XLOC_021259|nidogen-1	719.314	300.399	402.112	400.017
LOC105340356|XLOC_021471|follistatin-A	0	63.8356	389.076	414.155
LOC105322085|XLOC_021665|calmodulin	1946.65	1133.71	1241.59	1244.4
LOC105317808|XLOC_021757|ras_guanyl-releasing_protein_3	0	75.8344	7.37343	0
LOC105346089|XLOC_021884|mammalian_ependymin-related_protein_1-like	181.821	216.682	343.447	186.629
LOC105318458|XLOC_022115|mammalian_ependymin-related_protein_1	3815.98	1055.77	4094.69	2101.52
LOC105325327|XLOC_022470|dual_oxidase_2	88.1584	157.809	90.2334	32.7433
LOC105328000|XLOC_022522|calmodulin-A	190.928	85.4966	60.7021	93.2587
LOC105327998|XLOC_022523|calmodulin-A	1331.29	835.35	576.976	811.284
LOC105348537|XLOC_026129|annexin_A7	4972.43	5942.83	4473.1	3623.39
LOC105327452|XLOC_026148|leucine-rich_repeat-containing_protein_74A	1536.43	2842.3	6532.3	2327.62
LOC105319194|XLOC_026495|protocadherin-like_wing_polarity_protein_stan	95.5684	23.762	896.257	215.79
LOC105323136|XLOC_026612|microtubule-actin_cross-linking_factor_1	251.771	219.529	361.81	421.774
LOC105336047|XLOC_026656|uncharacterized	607.368	610.895	3280.29	0
LOC105328347|XLOC_026681|cadherin-23	105.561	507.273	147.329	27.9464
LOC105321018|XLOC_027641|eukaryotic_elongation_factor_2_kinase	1029.98	1008.62	2442.82	797.593
LOC105334618|XLOC_027684|uncharacterized	189.45	53.4162	78.2247	30.5236
LOC105321376|XLOC_029826|uncharacterized	5063.72	2339.34	5108.85	74.8583
LOC105341089|XLOC_030015|serine_protease_inhibitor_dipetalogastin	759.749	495.077	4912.96	792.849
LOC105337196|XLOC_031453|EF-hand_calcium-binding_domain-containing_protein_6	543.556	375.548	233.568	226.413
LOC105349178|XLOC_031599|annexin_A7	364.917	476.717	957.702	432.221
LOC105336473|XLOC_031675|uncharacterized	1841.8	726.067	2367.65	1342.86
LOC105326084|XLOC_032623|fibropellin-1-like	408.836	244.77	334.591	125.03
LOC105328831|XLOC_033563|uncharacterized	109.798	6.13303	24.8883	4.80814
LOC109617191|XLOC_034280|fibrillin-2-like	98.0575	356.147	216.439	19.9143
LOC105339995|XLOC_038003|uncharacterized	0	29.0075	84.1498	65.7063
