ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105318423|XLOC_013146|histamine_H2_receptor	643.852	118.096	83.4362	286.872
LOC105322561|XLOC_026383|regulator_of_G-protein_signaling_6	333.063	506.141	285.837	351.208
LOC105325985|XLOC_013507|uncharacterized	1438.59	618.763	1696.44	769.83
LOC105325985|XLOC_013512|uncharacterized	769.379	577.784	1251.12	732.262
LOC105329517|XLOC_022245|follicle-stimulating_hormone_receptor	71.8334	11.5656	0	15.0821
LOC105329610|XLOC_026169|FMRFamide_receptor	139.805	23.2147	365.136	43.0581
LOC105330610|XLOC_004077|rho_guanine_nucleotide_exchange_factor_11	104.377	164.187	129.942	94.5376
LOC105333166|XLOC_007344|D(2)_dopamine_receptor	649.24	280.961	251.754	371.759
LOC105334467|XLOC_038934|cholecystokinin_receptor_type_A	205.243	398.736	163.481	262.654
LOC105338613|XLOC_006192|adenosine_receptor_A3-like	34669.9	10756.5	38527	18246.2
LOC105339381|XLOC_033604|integral_membrane_protein_GPR180	142.068	128.039	86.89	203.223
LOC105346336|XLOC_038698|galanin_receptor_type_1	147.885	100.983	222.538	155.559
LOC105347323|XLOC_018389|uncharacterized	301.399	196.209	475.35	97.7123
LOC117680315|XLOC_038697|neuropeptide_FF_receptor_1-like	0	8.37949	5.77348	22.5544
