ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105345050|XLOC_005062|uncharacterized	115.448	201.351	137.497	106.854
LOC105317660|XLOC_009813|peritrophin-44	8490.28	2158.11	4830.29	682.457
LOC105321588|XLOC_010389|uncharacterized	523.249	93.9265	537.037	208.674
LOC105317552|XLOC_014729|uncharacterized	43803.6	12700.5	24874.9	11064.8
LOC105317748|XLOC_015124|uncharacterized	509.201	138.655	604.669	386.28
LOC117682760|XLOC_016438|uncharacterized	20468.2	7796.62	6736.66	7011.41
LOC105336346|XLOC_017242|sushi,_von_Willebrand_factor_type_A,_EGF_and_pentraxin_domain-containing_protein_1-like	197.123	122.41	401.169	122.417
LOC105326594|XLOC_017248|protein_PIF	165.093	0	649.824	80.2465
LOC105332622|XLOC_028637|acidic_mammalian_chitinase	156.678	52.7837	225.581	101.817
LOC105325752|XLOC_028644|acidic_mammalian_chitinase	964.255	380.377	1040.31	991.927
LOC109617191|XLOC_034280|fibrillin-2-like	98.0575	356.147	216.439	19.9143
LOC105345528|XLOC_038044|uncharacterized	4678.15	2344.07	8517.59	2785.41
