ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105317751|XLOC_013552|transcription_factor_GATA-3	661.414	565.952	845.344	547.905
LOC105317751|XLOC_013562|transcription_factor_GATA-3	270.428	173.031	246.203	159.997
LOC105318577|XLOC_028930|transcriptional_regulator_ATRX	498.463	1954.62	266.991	432.681
LOC105318881|XLOC_013926|E3_ubiquitin-protein_ligase_HUWE1	799.592	1642.98	838.328	576.393
LOC105319540|XLOC_017129|uncharacterized	405.031	279.266	452.775	214.02
LOC105319685|XLOC_028448|astacin-like	763.587	40.2125	1108.17	282.244
LOC105319912|XLOC_036105|uncharacterized	0	7.04617	1.10909	15.3709
LOC105320474|XLOC_039470|ecdysone_receptor	41.9489	10.76	39.8988	0
LOC105320474|XLOC_039474|ecdysone_receptor	537.59	224.138	226.108	185.294
LOC105320940|XLOC_037318|uncharacterized	332.259	436.573	360.667	680.94
LOC105320968|XLOC_001813|carboxypeptidase_A2-like	692.165	288.053	559.896	257.462
LOC105321000|XLOC_004800|uncharacterized	2237.25	1849.08	2915.3	2432.28
LOC105321000|XLOC_004802|uncharacterized	249.308	289.973	354.114	223.911
LOC105321000|XLOC_004803|uncharacterized	3280.26	3653.07	4840.05	2371.3
LOC105321080|XLOC_013445|retinoic_acid_receptor_gamma-like	174.258	117.926	208.693	128.327
LOC105321080|XLOC_013448|retinoic_acid_receptor_gamma-like	202.189	122.446	157.791	217.409
LOC105321141|XLOC_023721|uncharacterized	128.902	93.7609	68.3063	232.325
LOC105321335|XLOC_016535|E3_ubiquitin-protein_ligase_PDZRN3-B	140.249	114.506	92.7633	61.9287
LOC105321541|XLOC_007030|uncharacterized	41.309	35.063	69.4796	178.845
LOC105322241|XLOC_018325|uncharacterized	188.345	207.696	40.9682	727.963
LOC105322522|XLOC_038984|peptidoglycan_recognition_protein	645.392	87.0056	341.1	195.452
LOC105323194|XLOC_024020|NFX1-type_zinc_finger-containing_protein_1	3.49448	30.603	0	17.8648
LOC105323212|XLOC_019136|peroxisome_proliferator-activated_receptor_delta	670.81	1132.03	755.595	618.955
LOC105323598|XLOC_026069|TNF_receptor-associated_factor_3	172.031	469.563	110.071	389.725
LOC105323860|XLOC_031618|serine/arginine_repetitive_matrix_protein_2-like	206.854	222.84	704.149	0
LOC105323860|XLOC_031619|serine/arginine_repetitive_matrix_protein_2-like	485.248	51.23	94.3722	139.334
LOC105324668|XLOC_000251|peptidoglycan-recognition_protein_SC2	37.208	0	29.9628	19.419
