ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105317044|XLOC_000165|cytoplasmic_aconitate_hydratase	3817.64	3970.86	6017.71	6010.07
LOC105317220|XLOC_031867|lysine-specific_demethylase_6A	213.654	89.8013	218.896	228.383
LOC105317684|XLOC_008395|guanine_nucleotide-binding_protein_G(s)_subunit_alpha	1793.62	2089.26	993.162	2430.64
LOC105317759|XLOC_006325|lariat_debranching_enzyme_A	656.219	1255.68	815.068	87.6586
LOC105317854|XLOC_003466|baculoviral_IAP_repeat-containing_protein_3	100.052	430.542	863.42	27.0303
LOC105318049|XLOC_010333|oocyte_zinc_finger_protein_XlCOF7.1	206.276	351.641	218.017	220.333
LOC105318244|XLOC_008979|uncharacterized	772.228	135.317	697.239	316.374
LOC105318383|XLOC_027882|eyes_absent_homolog_1	354.831	193.553	110.987	324.353
LOC105318424|XLOC_013157|NADH_dehydrogenase_[ubiquinone]_flavoprotein_2,_mitochondrial	243.82	255.304	496.628	595.065
LOC105318593|XLOC_015442|methionine_aminopeptidase_2	324.232	168.606	345.409	200.563
LOC105318594|XLOC_015443|N-fatty-acyl-amino_acid_synthase/hydrolase_PM20D1.2	24647.2	10457.6	12523.3	18776.5
LOC105318648|XLOC_011692|protein_phosphatase_PTC7_homolog	1647.89	3224.31	1185.22	1076.35
LOC105318809|XLOC_038789|extracellular_superoxide_dismutase_[Cu-Zn]	675.588	28577	5257.65	65448.8
LOC105318810|XLOC_037674|uncharacterized	8.40261	245.629	62.3142	751.228
LOC105318810|XLOC_038788|uncharacterized	1506.87	33063.4	6584.83	57502.3
LOC105318855|XLOC_020388|dolichyl-diphosphooligosaccharide--protein_glycosyltransferase_subunit_STT3B	673.717	1031.63	629.783	751.516
LOC105318870|XLOC_018166|uncharacterized	28.2281	0	2.40616	1.71937
LOC105318930|XLOC_016717|pseudouridine-metabolizing_bifunctional_protein_C1861.05	2950.91	2434.57	5224.22	4384.2
LOC105319011|XLOC_035616|diacylglycerol_kinase_zeta	776.276	618.79	1196.77	983.842
LOC105319011|XLOC_035632|diacylglycerol_kinase_zeta	52.6057	175.222	105.762	116.221
LOC105319045|XLOC_023731|serine/threonine-protein_kinase_MRCK_alpha	563.144	272.266	236.662	86.1527
LOC105319045|XLOC_023733|serine/threonine-protein_kinase_MRCK_alpha	109.448	0	62.8983	39.836
LOC105319045|XLOC_023734|serine/threonine-protein_kinase_MRCK_alpha	191.05	144.362	188.467	278.591
LOC105319143|XLOC_032659|peptide_methionine_sulfoxide_reductase_MsrB-like	4251.76	1504.38	5524.98	1622.05
LOC105319240|XLOC_006570|protein_tumorous_imaginal_discs,_mitochondrial	170.611	234.694	124.366	286.633
LOC105319247|XLOC_006583|titin_homolog	1690.02	1804.9	1366.07	959.505
LOC105319608|XLOC_014821|metalloproteinase_inhibitor_3	120.011	0.75556	0.766579	0
LOC105319637|XLOC_033476|probable_DNA_double-strand_break_repair_Rad50_ATPase	465.698	473.418	738.743	422.103
LOC105319637|XLOC_033478|probable_DNA_double-strand_break_repair_Rad50_ATPase	338.747	470.475	143.661	26.9198
LOC105319717|XLOC_020807|uncharacterized	1586.31	1848.04	3073.66	1493.12
LOC105319717|XLOC_020808|uncharacterized	2506.68	1523.63	3944.01	929.399
LOC105320007|XLOC_008518|uncharacterized	964.259	358.353	964.47	426.561
LOC105320011|XLOC_008522|putative_tyrosinase-like_protein_tyr-1	277.139	110.934	305.557	199.63
LOC105321380|XLOC_014623|acid_phosphatase_type_7	147.263	123.746	282.27	157.387
LOC105321511|XLOC_013358|protein_retinal_degeneration_B	54.0935	62.013	26.4665	45.5769
LOC105321715|XLOC_011002|leishmanolysin-like_peptidase	681.035	573.649	315.561	1903.96
LOC105322020|XLOC_034579|cell_growth-regulating_nucleolar_protein	1036.46	29.5576	266.823	42.2169
LOC105322206|XLOC_018323|nuclear_pore_complex_protein_Nup50	64.2649	68.5327	53.3122	97.9798
LOC105322221|XLOC_018312|CCR4-NOT_transcription_complex_subunit_4	710.647	444.811	942.743	572.88
LOC105322264|XLOC_005970|LIM/homeobox_protein_Lhx9	1530.79	1049.86	3243.17	1822.32
LOC105322310|XLOC_003712|enolase-phosphatase_E1	174.646	107.933	158.118	233.53
LOC105322310|XLOC_003713|enolase-phosphatase_E1	11.2791	10.3072	0	22.4435
LOC105322310|XLOC_003714|enolase-phosphatase_E1	601.776	689.051	375.59	545.383
LOC105322310|XLOC_003715|enolase-phosphatase_E1	161.06	244.433	140.011	184.178
LOC105322310|XLOC_003716|enolase-phosphatase_E1	172.82	236.417	149.481	169.443
LOC105322369|XLOC_014511|forkhead_box_protein_P1	590.679	400.937	733.015	724.3
LOC105322382|XLOC_028308|uncharacterized	343.513	218.792	370.857	317.218
LOC105322382|XLOC_028309|uncharacterized	1099.54	397.343	745.989	325.917
LOC105322382|XLOC_028310|uncharacterized	154.335	66.527	156.776	48.4266
LOC105322530|XLOC_024905|acid_phosphatase_type_7	725.387	432.977	715.525	510.321
LOC105322548|XLOC_026399|polycomb_protein_suz12	1580.39	3749.11	1395.3	2509.66
LOC105322704|XLOC_018292|alternative_oxidase,_mitochondrial-like	2145.15	2260.05	9562.56	569.832
LOC105322747|XLOC_022310|fructose-1,6-bisphosphatase_1	745.328	502.026	1783.64	273.614
LOC105322747|XLOC_022313|fructose-1,6-bisphosphatase_1	257.402	156.181	879.333	58.8057
LOC105323046|XLOC_037281|uncharacterized	62.465	0	1.14155	0
LOC105323147|XLOC_006977|RNA-binding_protein_26-like	108.298	194.284	161.459	192.874
LOC105323174|XLOC_018419|bromodomain_adjacent_to_zinc_finger_domain_protein_2B	345.487	677.715	519.757	428.407
LOC105323174|XLOC_018420|bromodomain_adjacent_to_zinc_finger_domain_protein_2B	677.649	944.738	837.959	578.131
LOC105323174|XLOC_018421|bromodomain_adjacent_to_zinc_finger_domain_protein_2B	2660.82	3871.92	2983.57	1693.03
LOC105323574|XLOC_027616|zinc_finger_Ran-binding_domain-containing_protein_2	502.68	685.226	624.179	848.971
LOC105323732|XLOC_013395|apoptosis-inducing_factor_3	573.354	899.598	476.054	786.961
LOC105323879|XLOC_036262|baculoviral_IAP_repeat-containing_protein_7	22.4768	45.4009	19.4937	15.4684
LOC105324267|XLOC_007701|roquin-2	257.101	421.659	312.094	341.73
LOC105324334|XLOC_006206|carnosine_synthase_1	14090.3	5882.68	6892.72	5712.72
LOC105324387|XLOC_000395|uncharacterized	124.975	166.109	143.292	114.821
LOC105324620|XLOC_000255|zinc_finger_protein_271	175.979	159.053	191.958	278.963
LOC105324649|XLOC_029308|cAMP-specific_3',5'-cyclic_phosphodiesterase_4B-like	531.776	465.118	665.008	415.85
LOC105324662|XLOC_026314|probable_3',5'-cyclic_phosphodiesterase_pde-5	479.522	249.116	399.838	236.761
LOC105324662|XLOC_026315|probable_3',5'-cyclic_phosphodiesterase_pde-5	546.632	558.585	739.458	395.06
LOC105324712|XLOC_036869|heme_peroxidase_2	513.097	190.076	489.853	166.448
LOC105324941|XLOC_021097|multiple_epidermal_growth_factor-like_domains_protein_6	44478.9	8799.6	52580.1	18241.8
LOC105324972|XLOC_010880|E3_ubiquitin-protein_ligase_RNF34	231.018	281.326	414.007	329.098
LOC105325140|XLOC_016829|myoneurin	168.501	40.0629	134.939	393.853
LOC105325385|XLOC_008020|acid_phosphatase_type_7	0	103.838	0	0
LOC105325508|XLOC_014815|NTR_domain-containing_protein-like	210.868	842.011	198.951	1078.53
LOC105325576|XLOC_031539|TNFAIP3-interacting_protein_1	59827.3	41022.9	78090.8	53767.6
LOC105325657|XLOC_003147|ubiquitin-like_modifier-activating_enzyme_5	437.142	136.607	135.725	214.458
LOC105325809|XLOC_021017|E3_ubiquitin-protein_ligase_RNF19B	748.955	466.618	1053.25	577.759
LOC105326150|XLOC_026309|hillarin	235.69	288.051	269.51	157.83
LOC105326419|XLOC_019084|LIM_and_SH3_domain_protein_1	230.358	212.756	260.453	311.775
LOC105326432|XLOC_019098|NADH_dehydrogenase_[ubiquinone]_flavoprotein_1,_mitochondrial	1510.77	1137.6	1099.28	916.183
LOC105326453|XLOC_022178|estrogen_receptor_beta	1290.84	2822.42	395.921	689.713
LOC105326453|XLOC_022179|estrogen_receptor_beta	2795.33	2093.1	1700.72	333.07
LOC105326453|XLOC_022187|estrogen_receptor_beta	415.509	128.966	84.7883	115.812
LOC105326480|XLOC_011293|double_C2-like_domain-containing_protein_beta	3016.32	3415.64	1259.33	1895.45
LOC105326889|XLOC_025687|NAD-dependent_protein_deacetylase_sirtuin-2	119.929	55.8835	130.063	340.082
LOC105327235|XLOC_025501|allene_oxide_synthase-lipoxygenase_protein-like	34.391	0	5.20888	3.54678
LOC105327272|XLOC_020687|uncharacterized	153.316	351.051	251.495	230.944
LOC105327425|XLOC_013693|protein_monoglycylase_TTLL8	78.2793	50.9091	36.3243	32.2534
LOC105327467|XLOC_005479|serine/threonine-protein_phosphatase_1_regulatory_subunit_10	152.042	885.898	411.204	343.906
LOC105327467|XLOC_005480|serine/threonine-protein_phosphatase_1_regulatory_subunit_10	87.6142	198.424	56.2819	153.669
LOC105327467|XLOC_005481|serine/threonine-protein_phosphatase_1_regulatory_subunit_10	238.805	232.192	150.897	310.492
LOC105327844|XLOC_010144|uncharacterized	79.3391	193.083	339.939	327.123
LOC105327844|XLOC_012811|uncharacterized	255.819	116.884	186.645	143.142
LOC105328274|XLOC_005556|uncharacterized	299.045	225.79	266.202	149.859
LOC105328274|XLOC_005560|uncharacterized	211.971	116.807	251.951	146.647
LOC105328744|XLOC_019010|PHD_finger_protein_20-like_protein_1	66.7433	83.9635	95.5994	41.6896
LOC105328926|XLOC_034113|nuclear_hormone_receptor_HR96	1606.21	1074.52	1880.35	1793.51
LOC105329571|XLOC_032597|pancreatic_triacylglycerol_lipase	1036.83	177.79	1360.67	309.901
LOC105329903|XLOC_013160|uncharacterized	294.554	105.834	494.058	193.186
LOC105330040|XLOC_007949|calcium/calmodulin-dependent_3',5'-cyclic_nucleotide_phosphodiesterase_1A	92.7754	525.249	102.445	82.6006
LOC105330040|XLOC_007950|calcium/calmodulin-dependent_3',5'-cyclic_nucleotide_phosphodiesterase_1A	4072.36	1989.7	4780.37	3117.51
LOC105330261|XLOC_008324|alkaline_phosphatase,_tissue-nonspecific_isozyme	736.544	157.924	534.713	150.653
LOC105330317|XLOC_034851|A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_18	2239.84	2466.58	4095.97	3632.74
LOC105330610|XLOC_004077|rho_guanine_nucleotide_exchange_factor_11	104.377	164.187	129.942	94.5376
LOC105330677|XLOC_035266|E3_ubiquitin-protein_ligase_RNF168	46898.9	80248.9	123609	64680.3
LOC105330680|XLOC_035266|zinc_finger_protein_70	46898.9	80248.9	123609	64680.3
LOC105330818|XLOC_038625|uncharacterized	97.3699	76.396	170.019	110.164
LOC105330818|XLOC_038652|uncharacterized	46.0873	122.734	108.907	45.8603
LOC105331209|XLOC_018488|tyrosinase-like_protein_1	292.827	120.351	269.939	172.455
LOC105331293|XLOC_034875|ubiquitin_thioesterase_zranb1-B	319.753	0	171.114	209.995
LOC105331371|XLOC_001471|mothers_against_decapentaplegic_homolog_4	239.566	210.422	419.688	383.218
LOC105331423|XLOC_030557|pancreatic_lipase-related_protein_2	395.5	132.96	311.041	214.012
