ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105317044|XLOC_000165|cytoplasmic_aconitate_hydratase	3817.64	3970.86	6017.71	6010.07
LOC105324620|XLOC_000255|zinc_finger_protein_271	175.979	159.053	191.958	278.963
LOC105324387|XLOC_000395|uncharacterized	124.975	166.109	143.292	114.821
LOC105337260|XLOC_000650|E3_ubiquitin-protein_ligase_arkadia-A	2921.51	446.97	4784.17	5453.85
LOC105338241|XLOC_000975|uncharacterized	0	3.97589	16.9075	10.0887
LOC105348751|XLOC_002490|alpha-amylase	398.546	107.59	391.825	310.394
LOC105317854|XLOC_003466|baculoviral_IAP_repeat-containing_protein_3	100.052	430.542	863.42	27.0303
LOC105330610|XLOC_004077|rho_guanine_nucleotide_exchange_factor_11	104.377	164.187	129.942	94.5376
LOC105319247|XLOC_006583|titin_homolog	1690.02	1804.9	1366.07	959.505
LOC105332143|XLOC_007721|succinate_dehydrogenase_cytochrome_b560_subunit,_mitochondrial	1732.57	856.586	1728.58	1689.6
LOC105330040|XLOC_007949|calcium/calmodulin-dependent_3',5'-cyclic_nucleotide_phosphodiesterase_1A	92.7754	525.249	102.445	82.6006
LOC105325385|XLOC_008020|acid_phosphatase_type_7	0	103.838	0	0
LOC105345699|XLOC_008071|chromodomain-helicase-DNA-binding_protein_4	372.474	933.489	466.84	621.152
LOC105331789|XLOC_009005|acid_phosphatase_type_7	159.606	444.22	1776.61	291.233
LOC105333266|XLOC_010098|zinc_finger_MYND_domain-containing_protein_12	421.543	292.232	189.417	310.677
LOC105331820|XLOC_010502|MOG_interacting_and_ectopic_P-granules_protein_1	164.448	167.489	257.629	307.99
LOC105333759|XLOC_010874|rabankyrin-5	901.85	297.626	597.077	1004.33
LOC105324972|XLOC_010880|E3_ubiquitin-protein_ligase_RNF34	231.018	281.326	414.007	329.098
LOC105332659|XLOC_011601|uncharacterized	69.8486	100.718	55.8246	48.255
LOC105318648|XLOC_011692|protein_phosphatase_PTC7_homolog	1647.89	3224.31	1185.22	1076.35
LOC105336033|XLOC_012694|putative_ATP-dependent_RNA_helicase_TDRD12	698.858	533.561	1385.05	1326.04
LOC105318424|XLOC_013157|NADH_dehydrogenase_[ubiquinone]_flavoprotein_2,_mitochondrial	243.82	255.304	496.628	595.065
LOC105348843|XLOC_013517|NF-kappa-B_essential_modulator	43.7218	468.452	707.685	194.651
LOC105342266|XLOC_014314|lysine-specific_demethylase_5A-like	558.212	972.804	716.484	504.871
LOC105322369|XLOC_014511|forkhead_box_protein_P1	590.679	400.937	733.015	724.3
