ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
Crt|XLOC_028111|calreticulin(Crt)	12274.2	17058	9391.33	16554.8
LOC105317808|XLOC_021757|ras_guanyl-releasing_protein_3	0	75.8344	7.37343	0
LOC105317836|XLOC_021746|protein_jagged-1b	624.846	82.9876	151.317	320.919
LOC105317894|XLOC_003720|annexin_A7	187.754	152.435	150.781	102.092
LOC105318017|XLOC_004110|uncharacterized	8447.45	3705.74	8728.18	2196.59
LOC105318104|XLOC_012379|EF-hand_domain-containing_protein_D2	1134.8	942.483	970.387	531.767
LOC105318345|XLOC_018982|cysteine-rich_secretory_protein_LCCL_domain-containing_2	87.6224	0	18.1306	4.73953
LOC105318458|XLOC_022115|mammalian_ependymin-related_protein_1	3815.98	1055.77	4094.69	2101.52
LOC105318502|XLOC_026279|myosin_regulatory_light_polypeptide_9	476.194	292.837	449.196	364.449
LOC105319166|XLOC_018547|ras_and_EF-hand_domain-containing_protein_homolog	171.293	292.554	246.353	186.02
LOC105319194|XLOC_026495|protocadherin-like_wing_polarity_protein_stan	95.5684	23.762	896.257	215.79
LOC105320526|XLOC_016565|uncharacterized	187.253	164.918	136.292	302.791
LOC105320587|XLOC_020974|uncharacterized	61.923	18.363	21.4254	0
LOC105320897|XLOC_007183|FK506-binding_protein_2	1296.5	767.843	1308.24	1930.82
LOC105320898|XLOC_004394|low-density_lipoprotein_receptor-related_protein_2-like	62.4861	22.4816	95.9672	56.6696
LOC105321018|XLOC_027640|eukaryotic_elongation_factor_2_kinase	38.9775	24.623	87.7204	23.112
LOC105321018|XLOC_027641|eukaryotic_elongation_factor_2_kinase	1029.98	1008.62	2442.82	797.593
LOC105321018|XLOC_027642|eukaryotic_elongation_factor_2_kinase	114.142	69.6885	266.998	77.0463
LOC105321203|XLOC_019002|fibrillin-1	515.697	2153.53	1499.56	1637.61
LOC105321203|XLOC_019003|fibrillin-1	359.626	1049.74	963.779	1577.48
LOC105321242|XLOC_003360|uncharacterized	17547.1	5910.82	17436	6309.64
LOC105321376|XLOC_029826|uncharacterized	5063.72	2339.34	5108.85	74.8583
LOC105321540|XLOC_023383|IgGFc-binding_protein	235.93	109.679	276.048	145.921
LOC105321540|XLOC_023386|IgGFc-binding_protein	327.664	342.36	262.646	153.417
LOC105321540|XLOC_023389|IgGFc-binding_protein	207.469	296.39	371.095	234.6
LOC105322085|XLOC_021665|calmodulin	1946.65	1133.71	1241.59	1244.4
LOC105323136|XLOC_026612|microtubule-actin_cross-linking_factor_1	251.771	219.529	361.81	421.774
LOC105323136|XLOC_026618|microtubule-actin_cross-linking_factor_1	347.75	434.602	288.24	305.059
LOC105323136|XLOC_026623|microtubule-actin_cross-linking_factor_1	67.8525	115.869	74.1548	76.2533
LOC105323183|XLOC_018434|protocadherin_Fat_3	521.833	281.737	667.44	283.928
LOC105323311|XLOC_028739|polycystic_kidney_disease_2-like_1_protein	1572.13	1515.25	1270.3	1287.32
LOC105323679|XLOC_010420|uncharacterized	961.913	275.27	1052.23	359.834
LOC105323822|XLOC_015001|serine-rich_adhesin_for_platelets	110.845	198.789	0	19.7671
LOC105323822|XLOC_015002|serine-rich_adhesin_for_platelets	39.1563	0	7.29798	8.24441
LOC105323962|XLOC_026496|cadherin-23	609.757	1233.81	733.168	983.568
LOC105324594|XLOC_004116|uncharacterized	557.739	43.1544	294.914	54.8519
LOC105325250|XLOC_000993|uncharacterized	306.2	41.2405	911.784	58.8312
LOC105325327|XLOC_022470|dual_oxidase_2	88.1584	157.809	90.2334	32.7433
LOC105325414|XLOC_011951|uncharacterized	1652.34	1321.15	762.94	808.652
LOC105326084|XLOC_032623|fibropellin-1-like	408.836	244.77	334.591	125.03
LOC105326482|XLOC_011293|uncharacterized	3016.32	3415.64	1259.33	1895.45
LOC105327339|XLOC_005034|microtubule-actin_cross-linking_factor_1	838.95	434.621	918.521	365.771
LOC105327339|XLOC_005037|microtubule-actin_cross-linking_factor_1	396.97	463.365	409.558	282.449
LOC105327339|XLOC_005039|microtubule-actin_cross-linking_factor_1	498.967	473.397	522.56	299.187
LOC105327452|XLOC_026148|leucine-rich_repeat-containing_protein_74A	1536.43	2842.3	6532.3	2327.62
LOC105327744|XLOC_002701|uncharacterized	93.3321	192.203	56.2984	95.1623
LOC105327998|XLOC_022523|calmodulin-A	1331.29	835.35	576.976	811.284
LOC105328000|XLOC_022522|calmodulin-A	190.928	85.4966	60.7021	93.2587
LOC105328023|XLOC_021259|nidogen-1	719.314	300.399	402.112	400.017
LOC105328124|XLOC_009861|uncharacterized	621.836	134.778	668.921	260.433
LOC105328178|XLOC_016787|titin	27.3226	139.154	284.867	77.2367
LOC105328178|XLOC_016790|titin	38.6693	229.401	421.066	254.153
LOC105328178|XLOC_016795|titin	16.2983	98.9143	326.657	184.208
LOC105328194|XLOC_004108|uncharacterized	0	75.012	124.482	131.229
