ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105317552|XLOC_014729|uncharacterized	43803.6	12700.5	24874.9	11064.8
LOC105317660|XLOC_009813|peritrophin-44	8490.28	2158.11	4830.29	682.457
LOC105317662|XLOC_009815|chondroitin_proteoglycan_2	613.252	259.592	235.238	105.503
LOC105317748|XLOC_015124|uncharacterized	509.201	138.655	604.669	386.28
LOC105319624|XLOC_007180|uncharacterized	438.843	81.6854	230.837	86.6858
LOC105321216|XLOC_003388|uncharacterized	65.7409	10.5089	67.5662	0
LOC105321588|XLOC_010389|uncharacterized	523.249	93.9265	537.037	208.674
LOC105325752|XLOC_028644|acidic_mammalian_chitinase	964.255	380.377	1040.31	991.927
LOC105326593|XLOC_017246|uncharacterized	209.242	44.0358	136.564	54.0707
LOC105326594|XLOC_017248|protein_PIF	165.093	0	649.824	80.2465
LOC105327213|XLOC_035266|uncharacterized	46898.9	80248.9	123609	64680.3
LOC105327324|XLOC_006245|uncharacterized	1493.14	332.921	601.246	213.573
LOC105327860|XLOC_012807|mucin-2-like	596.277	748.974	143.262	1102.32
LOC105327928|XLOC_005754|uncharacterized	232.926	66.4878	128.653	150.507
LOC105331104|XLOC_004280|uncharacterized	1388.19	4956.19	3960.47	6451.23
LOC105332539|XLOC_024256|location_of_vulva_defective_1	450.561	597.529	208.009	290.143
LOC105332578|XLOC_028638|uncharacterized	1075.41	1341.97	1436.01	2056.48
LOC105332578|XLOC_028641|uncharacterized	1037.45	989.835	1209.34	1970.85
LOC105332622|XLOC_028637|acidic_mammalian_chitinase	156.678	52.7837	225.581	101.817
LOC105336346|XLOC_017242|sushi,_von_Willebrand_factor_type_A,_EGF_and_pentraxin_domain-containing_protein_1-like	197.123	122.41	401.169	122.417
LOC105336368|XLOC_019622|protein_PIF-like	312.741	132.867	577.096	241.232
LOC105336951|XLOC_013869|uncharacterized	3368.8	1796.93	1855.84	1784.05
LOC105343966|XLOC_011042|uncharacterized	1227.58	440.856	1904.62	446.864
LOC105345050|XLOC_005062|uncharacterized	115.448	201.351	137.497	106.854
LOC105345527|XLOC_038047|uncharacterized	689.129	390.825	2185.44	345.835
LOC105345528|XLOC_038044|uncharacterized	4678.15	2344.07	8517.59	2785.41
LOC105346858|XLOC_005167|uncharacterized	990.143	230.164	758.697	200.287
LOC109617191|XLOC_034280|fibrillin-2-like	98.0575	356.147	216.439	19.9143
LOC109617191|XLOC_034281|fibrillin-2-like	373.739	216.983	467.068	181.064
LOC109617191|XLOC_034284|fibrillin-2-like	492.98	98.827	603.114	338.783
LOC117682760|XLOC_016438|uncharacterized	20468.2	7796.62	6736.66	7011.41
