ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105319044|XLOC_023736|putative_transcription_factor_p65_homolog	713.824	755.253	1086.85	413.469
LOC105322522|XLOC_038984|peptidoglycan_recognition_protein	645.392	87.0056	341.1	195.452
LOC105323237|XLOC_031436|ankyrin_repeat_domain-containing_protein_17	364.225	1517.1	694.202	633.503
LOC105324668|XLOC_000251|peptidoglycan-recognition_protein_SC2	37.208	0	29.9628	19.419
LOC105325572|XLOC_031539|nuclear_factor_NF-kappa-B_p105_subunit	59827.3	41022.9	78090.8	53767.6
LOC105325877|XLOC_026229|tyrosine-protein_kinase_SRK2	1376.26	1011.78	1804.24	1316.98
LOC105326034|XLOC_010648|uncharacterized	31.5298	44.744	17.7049	56.1536
LOC105330678|XLOC_035266|stimulator_of_interferon_genes_protein	46898.9	80248.9	123609	64680.3
LOC105334969|XLOC_035132|ankyrin-3-like	3.15552	0	29.0979	18.1524
LOC105341397|XLOC_019388|beta-1,3-glucan-binding_protein-like	976.972	791.86	1401.09	278.83
LOC105344170|XLOC_033383|toll-like_receptor_6	178.023	116.748	203.481	57.5341
LOC117692804|XLOC_008474|uncharacterized	52.4392	104.531	90.6014	129.552
