C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105319044|XLOC_023736|putative_transcription_factor_p65_homolog	1.09807317563331	-1.32598910602142	0.0431930162265654	0.184722914161559
LOC105322522|XLOC_038984|peptidoglycan_recognition_protein	0.376947208470452	-0.278454335418999	1.12878657703793	-1.22727945008938
LOC105323237|XLOC_031436|ankyrin_repeat_domain-containing_protein_17	-0.0195903331982546	-0.175348452098438	-1.11699933362364	1.31193811892033
LOC105324668|XLOC_000251|peptidoglycan-recognition_protein_SC2	0.534470233776599	0.289875296621404	0.658000376136516	-1.48234590653452
LOC105325572|XLOC_031539|nuclear_factor_NF-kappa-B_p105_subunit	1.20434595101407	-0.196558594081804	0.20430751857194	-1.21209487550422
LOC105325877|XLOC_026229|tyrosine-protein_kinase_SRK2	1.22876714205161	-0.100554610141571	0.0853505541701468	-1.21356308608018
LOC105326034|XLOC_010648|uncharacterized	-1.31863097926582	0.978572746293555	-0.180533231624608	0.520591464596876
LOC105330678|XLOC_035266|stimulator_of_interferon_genes_protein	1.25977486514286	-0.333197405108825	-1.12384678335581	0.197269323321777
LOC105334969|XLOC_035132|ankyrin-3-like	0.941931154452851	0.650127082477973	-0.336259740401716	-1.25579849652911
LOC105341397|XLOC_019388|beta-1,3-glucan-binding_protein-like	0.918308409568022	-1.4105296324632	0.397726828795324	0.0944943940998574
LOC105344170|XLOC_033383|toll-like_receptor_6	0.859899397008767	-1.36273464636716	0.623644481995996	-0.120809232637607
LOC117692804|XLOC_008474|uncharacterized	0.0282257501944836	0.958154404622704	-1.38612639625207	0.399746241434885
