ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105319001|XLOC_020650|perlucin-like_protein	245.16	0	0	0
LOC105319002|XLOC_020651|perlucin-like_protein	426	0	10.8516	0
LOC105319003|XLOC_020648|perlucin-like_protein	440.88	0	0	0
LOC105319145|XLOC_032661|perlucin	2983.59	3272.89	4408.25	5822.52
LOC105322478|XLOC_014945|CD209_antigen-like_protein_D	65.7543	0	116.687	79.3557
LOC105324874|XLOC_018942|macrophage_mannose_receptor_1	2788.99	2272.01	5680.47	4387.16
LOC105328056|XLOC_035646|uncharacterized	27.0692	0	0	0
LOC105330631|XLOC_006860|perlucin-like_protein	24.651	47.2969	150.295	109.854
LOC105331018|XLOC_010428|uncharacterized	39.8263	193.01	28.2376	0
LOC105331381|XLOC_001143|uncharacterized	320.494	471.565	314.691	18.4058
LOC105332051|XLOC_035190|macrophage_mannose_receptor_1-like	483.162	401.517	627.114	941.977
LOC105332350|XLOC_026515|uncharacterized	886.275	0	0	0
LOC105332405|XLOC_026514|asialoglycoprotein_receptor_2	3387.65	1799.82	2232.39	3851.22
LOC105332572|XLOC_031376|FRAS1-related_extracellular_matrix_protein_1	547.171	377.356	142.422	210.328
LOC105335360|XLOC_036488|hepatic_lectin-like	469.964	135.968	713.582	202.008
LOC105337323|XLOC_036154|uncharacterized	227.74	67.4751	515.212	108.243
LOC105339584|XLOC_038952|uncharacterized	2011.74	942.29	5985.85	144.802
LOC105341114|XLOC_027112|uncharacterized	93.7873	19.1999	136.639	83.0208
LOC105347932|XLOC_025097|perlucin	895.499	212.98	1146.29	701.919
LOC109619579|XLOC_038958|uncharacterized	713.898	1056.36	4502.4	21.9929
