C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105319001|XLOC_020650|perlucin-like_protein	-0.5	-0.5	1.5	-0.5
LOC105319002|XLOC_020651|perlucin-like_protein	0.118760130249398	-0.744473782435568	1.37018743462174	-0.744473782435568
LOC105319003|XLOC_020648|perlucin-like_protein	-0.5	-0.5	1.5	-0.5
LOC105319145|XLOC_032661|perlucin	0.337528511244117	1.25415063609988	-0.948252552159268	-0.643426595184737
LOC105322478|XLOC_014945|CD209_antigen-like_protein_D	0.638469988778858	0.468006446620668	0.385159615924921	-1.49163605132445
LOC105324874|XLOC_018942|macrophage_mannose_receptor_1	1.1291269006582	0.510422985004152	-0.574337675080574	-1.06521221058177
LOC105328056|XLOC_035646|uncharacterized	-0.5	-0.5	1.5	-0.5
LOC105330631|XLOC_006860|perlucin-like_protein	1.00191335483694	0.61572011594368	-1.20168398098785	-0.415949489792769
LOC105331018|XLOC_010428|uncharacterized	0.129532683467375	-1.39242440220044	0.280071542257126	0.982820176475941
LOC105331381|XLOC_001143|uncharacterized	0.400838897275233	-1.48804926341664	0.41317440074978	0.674035965391629
LOC105332051|XLOC_035190|macrophage_mannose_receptor_1-like	0.202542692567273	1.30363273140621	-0.502851867828558	-1.00332355614493
LOC105332350|XLOC_026515|uncharacterized	-0.5	-0.5	1.5	-0.5
LOC105332405|XLOC_026514|asialoglycoprotein_receptor_2	-0.526001748350134	1.00990391057554	0.648648604726452	-1.13255076695186
LOC105332572|XLOC_031376|FRAS1-related_extracellular_matrix_protein_1	-1.13036800918471	-0.480881541999078	1.1162359056898	0.495013645493998
LOC105335360|XLOC_036488|hepatic_lectin-like	1.09899361137986	-0.563643670723775	0.548173997042463	-1.08352393769855
LOC105337323|XLOC_036154|uncharacterized	1.24089176841055	-0.516179861387412	0.319971788742272	-1.04468369576541
LOC105339584|XLOC_038952|uncharacterized	1.06341981908352	-1.31182679546548	0.366479915151529	-0.118072938769568
LOC105341114|XLOC_027112|uncharacterized	0.827356992788858	0.240956278366583	0.384204365264456	-1.4525176364199
LOC105347932|XLOC_025097|perlucin	0.811501911580902	0.15323655889633	0.480081554752428	-1.44482002522966
LOC109619579|XLOC_038958|uncharacterized	0.95812836879231	-1.40278366041065	0.134780895960381	0.309874395657964
