C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105320306|XLOC_005595|uncharacterized	0.461999954253996	-1.00161956108733	-0.635098931505553	1.17471853833888
LOC105322484|XLOC_015994|heat_shock_protein_68-like	1.10372001050173	-1.29871736481083	-0.0975953523069923	0.292592706616091
LOC105322484|XLOC_015996|heat_shock_protein_68-like	1.02192103984968	-1.29389564673195	-0.213674211660447	0.485648818542725
LOC105323151|XLOC_028986|dnaJ_homolog_subfamily_B_member_4	1.23939872876157	-1.17148161710349	-0.245163722556547	0.177246610898469
LOC105323151|XLOC_028988|dnaJ_homolog_subfamily_B_member_4	1.30855552954728	-0.971143127104174	-0.547942201693784	0.210529799250681
LOC105327968|XLOC_004331|uncharacterized	0.194506382827669	1.29138250316423	-0.434265316066822	-1.05162356992508
LOC105328117|XLOC_012828|heat_shock_factor_protein-like	1.48635900619118	-0.529974550333178	-0.316130099394726	-0.640254356463273
LOC105329710|XLOC_002466|heat_shock_70_kDa_protein_12A	1.10580005046511	-0.57017206964506	0.541093109468983	-1.07672109028904
LOC105331471|XLOC_036544|Heat_shock_protein_beta-1	1.4924524052949	-0.583691975621052	-0.55176280120271	-0.35699762847113
LOC105334234|XLOC_014455|heat_shock_protein_70_B2	0.845240085748926	-1.4372827881659	0.146806567184557	0.445236135232415
LOC105334234|XLOC_014457|heat_shock_protein_70_B2	1.1772293544246	-0.867671545461806	-0.7924951884714	0.482937379508606
LOC105334234|XLOC_014458|heat_shock_protein_70_B2	0.859151890411396	-1.38135675623737	-0.0685660219425796	0.590770887768559
LOC105344161|XLOC_029176|heat_shock_70_kDa_protein_12A	0.467164460089527	-1.49598028797316	0.429057631654498	0.599758196229137
LOC105344633|XLOC_020198|heat_shock_70_kDa_protein_12B	-0.5	1.5	-0.5	-0.5
LOC105345989|XLOC_025456|heat_shock_protein_83-like	-0.633397916505696	-0.384995674912366	-0.473661957150277	1.49205554856834
