ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105331381|XLOC_001143|uncharacterized	320.494	471.565	314.691	18.4058
LOC117681047|XLOC_002505|cilia-_and_flagella-associated_protein_45-like	294.749	323.338	216.219	197.233
LOC105327339|XLOC_005037|microtubule-actin_cross-linking_factor_1	396.97	463.365	409.558	282.449
LOC105346508|XLOC_006142|uncharacterized	84.2463	37.4808	105.551	88.6283
LOC105330631|XLOC_006860|perlucin-like_protein	24.651	47.2969	150.295	109.854
LOC105331018|XLOC_010428|uncharacterized	39.8263	193.01	28.2376	0
LOC105322478|XLOC_014945|CD209_antigen-like_protein_D	65.7543	0	116.687	79.3557
LOC105324874|XLOC_018942|macrophage_mannose_receptor_1	2788.99	2272.01	5680.47	4387.16
LOC105319003|XLOC_020648|perlucin-like_protein	440.88	0	0	0
LOC105319001|XLOC_020650|perlucin-like_protein	245.16	0	0	0
LOC105319002|XLOC_020651|perlucin-like_protein	426	0	10.8516	0
LOC105336849|XLOC_021928|multiple_epidermal_growth_factor-like_domains_protein_10	102.49	493.444	526.647	1377.38
LOC105342811|XLOC_024330|galectin-4	1179.61	951.944	1073.44	1643.61
LOC105336661|XLOC_024332|uncharacterized	147.918	730.603	1938.92	149.659
LOC105345065|XLOC_024381|uncharacterized	10390.4	12543.6	9260.59	5225.91
LOC105347932|XLOC_025097|perlucin	895.499	212.98	1146.29	701.919
LOC105319194|XLOC_026495|protocadherin-like_wing_polarity_protein_stan	95.5684	23.762	896.257	215.79
LOC105332405|XLOC_026514|asialoglycoprotein_receptor_2	3387.65	1799.82	2232.39	3851.22
LOC105332350|XLOC_026515|uncharacterized	886.275	0	0	0
LOC105323136|XLOC_026612|microtubule-actin_cross-linking_factor_1	251.771	219.529	361.81	421.774
LOC105341114|XLOC_027112|uncharacterized	93.7873	19.1999	136.639	83.0208
LOC105332572|XLOC_031376|FRAS1-related_extracellular_matrix_protein_1	547.171	377.356	142.422	210.328
LOC105319145|XLOC_032661|perlucin	2983.59	3272.89	4408.25	5822.52
LOC105332051|XLOC_035190|macrophage_mannose_receptor_1-like	483.162	401.517	627.114	941.977
LOC105328056|XLOC_035646|uncharacterized	27.0692	0	0	0
LOC105337323|XLOC_036154|uncharacterized	227.74	67.4751	515.212	108.243
LOC105335360|XLOC_036488|hepatic_lectin-like	469.964	135.968	713.582	202.008
LOC105346546|XLOC_036742|protein_eva-1_homolog_C	26.1617	43.4517	46.8147	13.8645
LOC105343541|XLOC_038684|coiled-coil_domain-containing_protein_173	974.446	925.582	495.294	607.299
LOC105339584|XLOC_038952|uncharacterized	2011.74	942.29	5985.85	144.802
LOC109619579|XLOC_038958|uncharacterized	713.898	1056.36	4502.4	21.9929
