C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105331381|XLOC_001143|uncharacterized	0.400838897275233	-1.48804926341664	0.41317440074978	0.674035965391629
LOC117681047|XLOC_002505|cilia-_and_flagella-associated_protein_45-like	-0.651318404328662	-1.03688062626318	0.649606688156654	1.03859234243518
LOC105327339|XLOC_005037|microtubule-actin_cross-linking_factor_1	0.329393462506728	-1.42353502064386	0.182053575887008	0.91208798225011
LOC105346508|XLOC_006142|uncharacterized	0.779917969998689	0.398470833848917	0.287917012928428	-1.46630581677604
LOC105330631|XLOC_006860|perlucin-like_protein	1.00191335483694	0.61572011594368	-1.20168398098785	-0.415949489792769
LOC105331018|XLOC_010428|uncharacterized	0.129532683467375	-1.39242440220044	0.280071542257126	0.982820176475941
LOC105322478|XLOC_014945|CD209_antigen-like_protein_D	0.638469988778858	0.468006446620668	0.385159615924921	-1.49163605132445
LOC105324874|XLOC_018942|macrophage_mannose_receptor_1	1.1291269006582	0.510422985004152	-0.574337675080574	-1.06521221058177
LOC105319003|XLOC_020648|perlucin-like_protein	-0.5	-0.5	1.5	-0.5
LOC105319001|XLOC_020650|perlucin-like_protein	-0.5	-0.5	1.5	-0.5
LOC105319002|XLOC_020651|perlucin-like_protein	0.118760130249398	-0.744473782435568	1.37018743462174	-0.744473782435568
LOC105336849|XLOC_021928|multiple_epidermal_growth_factor-like_domains_protein_10	0.171166441086275	1.06721758467254	-1.34890126278113	0.110517237022316
LOC105342811|XLOC_024330|galectin-4	-0.426961035656192	1.39091592119972	-0.0245647934588671	-0.939390092084666
LOC105336661|XLOC_024332|uncharacterized	1.20823368318425	-0.817168784436924	-0.82638134849483	0.435316449747508
LOC105345065|XLOC_024381|uncharacterized	0.101782781485898	-1.4151148272972	0.406996481632422	0.906335564178876
LOC105347932|XLOC_025097|perlucin	0.811501911580902	0.15323655889633	0.480081554752428	-1.44482002522966
LOC105319194|XLOC_026495|protocadherin-like_wing_polarity_protein_stan	1.20462524537744	0.259224562149491	-0.279016240190219	-1.18483356733672
LOC105332405|XLOC_026514|asialoglycoprotein_receptor_2	-0.526001748350134	1.00990391057554	0.648648604726452	-1.13255076695186
LOC105332350|XLOC_026515|uncharacterized	-0.5	-0.5	1.5	-0.5
LOC105323136|XLOC_026612|microtubule-actin_cross-linking_factor_1	0.580933612966764	1.08417791801052	-0.608082856068601	-1.05702867490868
LOC105341114|XLOC_027112|uncharacterized	0.827356992788858	0.240956278366583	0.384204365264456	-1.4525176364199
LOC105332572|XLOC_031376|FRAS1-related_extracellular_matrix_protein_1	-1.13036800918471	-0.480881541999078	1.1162359056898	0.495013645493998
LOC105319145|XLOC_032661|perlucin	0.337528511244117	1.25415063609988	-0.948252552159268	-0.643426595184737
LOC105332051|XLOC_035190|macrophage_mannose_receptor_1-like	0.202542692567273	1.30363273140621	-0.502851867828558	-1.00332355614493
LOC105328056|XLOC_035646|uncharacterized	-0.5	-0.5	1.5	-0.5
LOC105337323|XLOC_036154|uncharacterized	1.24089176841055	-0.516179861387412	0.319971788742272	-1.04468369576541
LOC105335360|XLOC_036488|hepatic_lectin-like	1.09899361137986	-0.563643670723775	0.548173997042463	-1.08352393769855
LOC105346546|XLOC_036742|protein_eva-1_homolog_C	0.836844358823848	-1.32770397115517	-0.210871686585818	0.701731298917144
LOC105343541|XLOC_038684|coiled-coil_domain-containing_protein_173	-1.14620637198426	-0.525676423955784	0.914297024569476	0.757585771370569
LOC105339584|XLOC_038952|uncharacterized	1.06341981908352	-1.31182679546548	0.366479915151529	-0.118072938769568
LOC109619579|XLOC_038958|uncharacterized	0.95812836879231	-1.40278366041065	0.134780895960381	0.309874395657964
