ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105345787-XLOC_029887-dual_specificity_mitogen-activated_protein_kinase_kinase_4	2918.49	10054.2	4278.88	5568.59
LOC105339236-XLOC_004626-dual_specificity_mitogen-activated_protein_kinase_kinase_7	991.927	1566.37	1675.12	588.34
LOC105344429-XLOC_033618-dual_specificity_protein_phosphatase_1-A	512.536	92.0909	241.615	116.521
LOC105347192-XLOC_033462-dual_specificity_protein_phosphatase_4	133.646	113.954	318.475	156.531
LOC105348544-XLOC_025555-insulin-like_peptide_receptor	6559.59	23129.8	4034.74	20174.5
LOC105339254-XLOC_021183-protein_phosphatase_1B	190.021	158.675	163.016	279.863
LOC105340117-XLOC_017860-serine/threonine-protein_kinase_3	504.624	239.442	639.019	591.117
LOC105329587-XLOC_032600-serine/threonine-protein_kinase_PAK_3	52.6963	35.5482	64.7147	86.8024
LOC105341794-XLOC_025384-sprouty-related,_EVH1_domain-containing_protein_2	544.888	484.941	1003.1	1157.23
LOC105338795-XLOC_030644-stress-activated_protein_kinase_JNK	0	360.666	0	37.9422
LOC105327844-XLOC_010144	79.3391	193.083	339.939	327.123
LOC105327844-XLOC_012811	255.819	116.884	186.645	143.142
