C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105329587|XLOC_032600|serine/threonine-protein_kinase_PAK_3	0.338733793866574	1.12568908111047	-0.209805306598285	-1.25461756837876
LOC105338795|XLOC_030644|stress-activated_protein_kinase_JNK	-0.822419115041455	0.438682749252571	-0.822419115041455	1.20615548083034
LOC105339236|XLOC_004626|dual_specificity_mitogen-activated_protein_kinase_kinase_7	0.845383240964836	-1.31520163675937	-0.236899644775167	0.706718040569694
LOC105339254|XLOC_021183|protein_phosphatase_1B	-0.637299549514307	1.42935250795692	-0.0516961525745718	-0.740356805868038
LOC105340117|XLOC_017860|serine/threonine-protein_kinase_3	0.721076449387076	0.547476763200415	0.195091924973237	-1.46364513756073
LOC105341794|XLOC_025384|sprouty-related,_EVH1_domain-containing_protein_2	0.688073635162027	1.01768973800657	-0.718628330705791	-0.987135042462803
LOC105344429|XLOC_033618|dual_specificity_protein_phosphatase_1-A	0.302132739581331	-0.636876009521382	1.27350865807885	-0.938765388138802
LOC105345787|XLOC_029887|dual_specificity_mitogen-activated_protein_kinase_kinase_4	-0.353600633740704	0.153236962903039	-1.08965265406335	1.29001632490101
LOC105347192|XLOC_033462|dual_specificity_protein_phosphatase_4	1.43767565919749	-0.130279151302286	-0.478379647891753	-0.829016860003451
LOC105348544|XLOC_025555|insulin-like_peptide_receptor	-1.12503521411456	0.760335567940729	-0.555783862354552	0.920483508528381
