ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105320752|XLOC_002437|beta-1,3-galactosyl-O-glycosyl-glycoprotein_beta-1,6-N-acetylglucosaminyltransferase-like	988.75	483.465	1158.74	1108.33
LOC105326801|XLOC_039145|mucin-19	233.482	90.9726	143.142	146.96
LOC105327860|XLOC_012807|mucin-2-like	596.277	748.974	143.262	1102.32
LOC105329356|XLOC_000492|mucin-5AC	0	7.85772	7.415	3.99497
LOC105330637|XLOC_033802|mucin-5AC	224.884	94.9353	447.246	133.492
LOC105330676|XLOC_035266|glycoprotein-N-acetylgalactosamine_3-beta-galactosyltransferase_1	46898.9	80248.9	123609	64680.3
LOC105331815|XLOC_003544|integumentary_mucin_C.1	1075.84	243.259	1673.38	267.917
LOC105333069|XLOC_032197|mucin-5AC	32321.2	6326.05	41768.4	15965.2
LOC105333069|XLOC_032199|mucin-5AC	84.6989	36.0135	129.203	45.5459
LOC105333069|XLOC_032201|mucin-5AC	64.8287	15.5175	182.621	34.7311
LOC105345014|XLOC_007869|mucin-22	11.7241	4.22087	53.0409	0
LOC117688920|XLOC_023507|mucin-5AC-like	2586.37	585.311	2907.29	486.541
LOC117688920|XLOC_023508|mucin-5AC-like	141.574	103.459	172.888	70.5136
