ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105318255|XLOC_011145|NF-kappa-B_inhibitor_epsilon-like	105.328	76.972	169.512	105.223
LOC105319044|XLOC_023736|putative_transcription_factor_p65_homolog	713.824	755.253	1086.85	413.469
LOC105319824|XLOC_023008|NF-kappa-B_inhibitor_alpha-like	2922.72	2672.91	4636.39	1952.06
LOC105321335|XLOC_016535|E3_ubiquitin-protein_ligase_PDZRN3-B	140.249	114.506	92.7633	61.9287
LOC105323598|XLOC_026069|TNF_receptor-associated_factor_3	172.031	469.563	110.071	389.725
LOC105325572|XLOC_031539|nuclear_factor_NF-kappa-B_p105_subunit	59827.3	41022.9	78090.8	53767.6
LOC105331346|XLOC_005891|fibrinolytic_enzyme,_isozyme_C	657.908	101.227	463.598	43.0034
LOC105334369|XLOC_005829|ANK_repeat-containing_protein_nipk-1-like	1041.91	1069.56	1362.62	567.936
LOC105339254|XLOC_021183|protein_phosphatase_1B	190.021	158.675	163.016	279.863
LOC105339938|XLOC_031749|ankyrin-1	257.493	217.701	486.292	294.351
LOC105340790|XLOC_005662|ankycorbin	722.131	258.688	1733.87	348.916
LOC105348843|XLOC_013517|NF-kappa-B_essential_modulator	43.7218	468.452	707.685	194.651
