C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105318255|XLOC_011145|NF-kappa-B_inhibitor_epsilon-like	1.33792706682867	-0.127801723343566	-0.124741836318361	-1.08538350716674
LOC105319044|XLOC_023736|putative_transcription_factor_p65_homolog	1.09807317563331	-1.32598910602142	0.0431930162265654	0.184722914161559
LOC105319824|XLOC_023008|NF-kappa-B_inhibitor_alpha-like	1.31254903204351	-1.10671280083567	0.022016943345087	-0.227853174552938
LOC105321335|XLOC_016535|E3_ubiquitin-protein_ligase_PDZRN3-B	-0.158793492871941	-1.31258002540012	1.02676088062915	0.444612637642914
LOC105323598|XLOC_026069|TNF_receptor-associated_factor_3	-1.15483284319148	0.69271767646205	-0.503696835248277	0.965812001977704
LOC105325572|XLOC_031539|nuclear_factor_NF-kappa-B_p105_subunit	1.20434595101407	-0.1965585940818	0.204307518571945	-1.21209487550421
LOC105331346|XLOC_005891|fibrinolytic_enzyme,_isozyme_C	0.691040628290883	-1.15900168002279	0.965309515714804	-0.497348463982902
LOC105334369|XLOC_005829|ANK_repeat-containing_protein_nipk-1-like	0.929836539012655	-1.41891909781148	0.209386408312774	0.27969615048604
LOC105339254|XLOC_021183|protein_phosphatase_1B	-0.637299549514307	1.42935250795692	-0.0516961525745718	-0.740356805868038
LOC105339938|XLOC_031749|ankyrin-1	1.40171700833431	-0.0484731453701958	-0.434542082672595	-0.918701780291517
LOC105340790|XLOC_005662|ankycorbin	1.29203234580874	-0.599072170120537	0.258362060912959	-0.951322236601164
LOC105348843|XLOC_013517|NF-kappa-B_essential_modulator	0.912501279133047	-0.140384560465451	-1.34771096738425	0.575594248716651
