C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105323165|XLOC_000751|adenomatous_polyposis_coli_protein	-0.206934143275641	-0.995082827283623	-0.187840685486162	1.38985765604543
LOC105329031|XLOC_006924|low-density_lipoprotein_receptor-related_protein_4	0.611933836283117	0.110158679130157	0.723548884504545	-1.44564139991782
LOC105328278|XLOC_007449|CREB-binding_protein	0.358640908258942	-1.12413627585806	-0.428024402953337	1.19351977055246
LOC105348704|XLOC_019611|low-density_lipoprotein_receptor-related_protein_6-like	0.200935212584994	-1.45339303579008	0.448819181871464	0.80363864133362
LOC105349010|XLOC_019617|secreted_frizzled-related_protein_5	0.0280682091450311	1.35469185362038	-0.368882386600255	-1.01387767616516
LOC105321031|XLOC_027672|ras-related_C3_botulinum_toxin_substrate_1	0.0654217908855856	-1.29190153207274	0.0772435352823189	1.14923620590483
LOC105341654|XLOC_028053|transcription_factor_AP-1	1.38264712160841	0.068810469257195	-0.60287219734398	-0.848585393521617
LOC105322578|XLOC_034768|protein_Wnt-11b-2	-0.837657309458018	0.526754649734576	1.14855996918146	-0.837657309458018
LOC105322000|XLOC_036935|palmitoleoyl-protein_carboxylesterase_notum1	-0.0689422584288474	-1.37218280104359	0.528285896986454	0.912839162485987
LOC105343871|XLOC_039190|BMP_and_activin_membrane-bound_inhibitor_homolog	-0.113555004070874	1.40635131754603	-0.35176272215824	-0.941033591316922
