ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105324475-XLOC_015821-ATP-binding_cassette_sub-family_A_member_3	65.1836	398.882	0	139.165
LOC105347865-XLOC_016107-ATP-binding_cassette_sub-family_A_member_3	401.478	1057.46	316.638	566.109
LOC105347968-XLOC_016342-ATP-binding_cassette_sub-family_A_member_3	174.042	30.6425	56.0739	30.0467
LOC105347968-XLOC_016344-ATP-binding_cassette_sub-family_A_member_3	410.929	120.667	112.005	73.4809
LOC105334794-XLOC_029881-ATP-binding_cassette_sub-family_A_member_5	1023.13	393.575	2047.9	716.493
LOC105333571-XLOC_004316-P_protein	84.6979	496.596	153.015	190.496
LOC105321687-XLOC_002357-anion_exchange_protein_2	1245.15	1821.86	1195.78	1035.73
LOC105321687-XLOC_002358-anion_exchange_protein_2	248.394	166.474	85.6225	235.566
LOC105336511-XLOC_010700-aquaporin-5	52.8068	462.527	263.02	34.7734
LOC105346619-XLOC_008473-aquaporin-5	407.712	660.106	254.526	166.09
LOC105334807-XLOC_026873-aquaporin-8	98.9571	0	22.1105	0
LOC109617038-XLOC_029878-aquaporin-8	123.1	105.467	311.35	91.3745
LOC105332764-XLOC_005648-calcium-binding_mitochondrial_carrier_protein_SCaMC-2	334.087	190.806	241.085	265.552
LOC105321807-XLOC_011091-chloride_channel_protein_B-like	1459.85	1583.81	886.388	2335.99
LOC105332591-XLOC_029001-choline_transporter-like_protein_1	212.222	87.4145	228.655	109.17
LOC105322174-XLOC_005983-choline_transporter-like_protein_2	247.543	122.909	319.042	189.802
LOC105322175-XLOC_005987-choline_transporter-like_protein_2	278.993	394.448	193.477	579.967
LOC105322175-XLOC_005990-choline_transporter-like_protein_2	442.119	673.959	542.589	852.614
LOC105329418-XLOC_003195-electroneutral_sodium_bicarbonate_exchanger_1	3891.16	3192.48	5019.07	4517.86
LOC105338672-XLOC_006648-electroneutral_sodium_bicarbonate_exchanger_1	2115.44	1705.43	2490.84	2010.29
LOC105334473-XLOC_012634-high_affinity_cationic_amino_acid_transporter_1	428.667	807.458	321.277	641.962
LOC117680571-XLOC_012636-high_affinity_cationic_amino_acid_transporter_1-like	1251.12	2088.71	579.117	2607.01
LOC105319936-XLOC_034598-major_facilitator_superfamily_domain-containing_protein_1	2784.5	6604.42	2486.71	6418.04
LOC105319936-XLOC_034599-major_facilitator_superfamily_domain-containing_protein_1	205.645	210.833	229.717	358.563
LOC105325124-XLOC_026440-major_facilitator_superfamily_domain-containing_protein_1	78.4421	23.1246	18.8377	117.489
LOC105348077-XLOC_027712-major_facilitator_superfamily_domain-containing_protein_1	381.634	207.336	443.29	883.562
LOC117680447-XLOC_033598-monocarboxylate_transporter_12-like	0	83.7507	517.215	182.075
LOC105321656-XLOC_013081-multidrug_resistance-associated_protein_1	2.0254	3.80281	0	16.5603
LOC105321656-XLOC_013084-multidrug_resistance-associated_protein_1	0	0	0	14.5187
LOC105321656-XLOC_013085-multidrug_resistance-associated_protein_1	22.9358	13.3507	0	67.152
LOC105347802-XLOC_005531-multidrug_resistance-associated_protein_1	1078.21	1969.04	1061.75	755.211
LOC105337545-XLOC_007794-multidrug_resistance-associated_protein_4-like	0	462.084	70.3295	386.162
LOC105324636-XLOC_035160-organic_cation_transporter_protein	174.168	108.063	267.626	153.183
LOC105327569-XLOC_025479-organic_cation_transporter_protein	61.0233	7.96144	4.42539	0
LOC105332923-XLOC_036421-organic_cation_transporter_protein	670.567	541.6	53.0347	803.605
LOC105332926-XLOC_037510-organic_cation_transporter_protein	104773	68625.2	83263.8	47317.6
LOC105319638-XLOC_035206-oxalate:formate_antiporter	9333.71	6901.43	11244.7	6453.87
LOC105339142-XLOC_002959-patched_domain-containing_protein_3	73.2358	104.021	72.3786	167.055
LOC105322721-XLOC_002118-sodium-coupled_monocarboxylate_transporter_1	164.877	45.0248	90.5351	80.231
LOC117687250-XLOC_001896-sodium-dependent_glucose_transporter_1A-like	123.521	319.097	51.7251	61.1114
LOC105340116-XLOC_021553-sodium/calcium_exchanger_2	958.21	684.173	394.967	700.048
LOC105340116-XLOC_021562-sodium/calcium_exchanger_2	99.4046	236.935	0	18.9877
LOC105329197-XLOC_032724-solute_carrier_family_22_member_4	361.439	195.347	294.718	380.374
LOC105345908-XLOC_035160-solute_carrier_family_22_member_6-A	174.168	108.063	267.626	153.183
LOC105328747-XLOC_019008-solute_carrier_family_23_member_2	3243.39	2534.36	5998.03	1059.96
LOC105337100-XLOC_020602-sulfate_transporter	1769.61	548.071	2902.46	836.702
LOC105331179-XLOC_037578-transient_receptor_potential_cation_channel_subfamily_A_member_1_homolog	0	115.712	462.664	28.4869
LOC105323152-XLOC_028986-transient_receptor_potential_cation_channel_subfamily_A_member_1	1697.26	2206.91	4270.47	954.124
LOC105332408-XLOC_029489	103.9	36.0134	160.995	40.1528
