tracking_id	E_38_0	E_38_1	E_38_2	E_51_1	E_51_2	E_51_0	C_38_0	C_38_2	C_38_1	C_51_2	C_51_0	C_51_1
XLOC_000004	2.19665	11.3923	5.37865	9.53969	5.88796	12.3986	6.01115	13.939	7.55738	5.79101	1.55503	4.26872
XLOC_000024	68.096	68.3537	60.9581	14.3095	11.7759	19.1614	38.6431	63.7209	31.4891	3.4746	16.3278	18.4978
XLOC_000029	69.1944	92.7657	90.5407	218.22	226.687	198.377	189.781	210.08	120.918	289.55	213.038	252.566
XLOC_000030	27.4581	17.0884	28.6862	72.7401	64.7676	83.4084	42.9368	63.7209	51.6421	50.9608	48.9833	42.6872
XLOC_000032	5.49162	6.50987	8.06798	0	0	0	7.72863	6.96948	5.03825	5.79101	35.7656	29.8811
XLOC_000033	4.39329	0	4.48221	0	0	0	13.7398	7.96512	8.81694	5.79101	12.4402	17.0749
XLOC_000102	0	0	0	0	0	0	0.858736	1.99128	0	2.3164	5.44259	1.42291
XLOC_000106	70.2927	66.7262	77.9905	5.96231	8.83194	3.38142	23.1859	17.9215	21.4126	2.3164	1.55503	0
XLOC_000145	14.2782	11.3923	13.4466	79.8949	52.0103	51.8485	31.7732	17.9215	27.7104	69.4921	27.2129	49.0903
XLOC_000154	1240.01	1396.37	1255.92	313.617	220.799	330.252	410.476	580.458	318.669	265.228	266.687	251.855
XLOC_000155	107.636	170.07	164.049	71.5477	58.8796	72.137	52.3829	60.734	49.1229	79.9159	67.6436	59.0507
XLOC_000157	9.88491	17.0884	19.7217	0	0	3.38142	0	0	1.25956	0	0	0
XLOC_000158	15.3765	7.32361	9.86087	0	0	0	0.858736	0	0	0	0	0
XLOC_000163	8.78659	5.69614	1.79288	9.53969	12.7573	3.38142	6.86989	5.97384	7.55738	26.6386	19.4378	37.707
XLOC_000165	63.7027	112.295	120.123	95.3969	82.4315	112.714	180.335	137.398	159.964	163.306	158.613	141.579
XLOC_000172	2.19665	0	0	1.19246	0.981327	0	0	0	0	3.4746	3.11005	3.55727
XLOC_000175	132.897	116.364	125.502	8.34723	3.92531	5.63571	82.4387	87.6163	46.6038	1.1582	1.55503	0.711454
XLOC_000183	0	0	0	0	8.83194	0	0	0	1.25956	0	0	1.42291
XLOC_000188	14.2782	17.0884	17.9288	19.0794	41.2157	32.6871	8.58736	5.97384	10.0765	16.2148	9.33015	5.69163
XLOC_000203	0	0	0	0	0	6.76285	0.858736	0.995639	0	4.6328	2.33254	2.84582
XLOC_000210	0	0	0	0	0	0	6.86989	0	2.51913	0	1.55503	0.711454
XLOC_000212	30.7531	25.2258	36.7541	71.5477	71.6369	34.9414	12.0223	12.9433	16.3743	231.64	220.036	203.476
XLOC_000213	52.7195	92.7657	53.7865	140.71	133.46	90.1713	17.1747	25.8866	25.1913	277.968	331.998	446.793
XLOC_000214	9.88491	11.3923	7.17154	15.502	25.5145	18.0343	3.43495	0	10.0765	37.0624	41.9857	43.3987
XLOC_000216	4.39329	2.4412	3.58577	42.9286	31.4025	18.0343	0	4.9782	0	103.08	55.2034	54.7819
XLOC_000217	60.4078	52.079	29.5826	428.094	424.915	284.04	28.3383	21.9041	26.4508	890.657	618.9	552.088
XLOC_000224	45.0313	37.4318	28.6862	26.2341	26.4958	22.5428	10.3048	13.939	21.4126	16.2148	27.2129	15.652
XLOC_000226	96.6524	56.1477	69.9225	52.4683	25.5145	55.2299	83.2974	94.5857	61.7186	39.3788	41.2082	39.8414
XLOC_000239	5.49162	3.25494	1.79288	11.9246	7.85062	12.3986	8.58736	12.9433	2.51913	10.4238	18.6603	3.55727
XLOC_000240	9.88491	9.76481	8.06798	9.53969	8.83194	6.76285	16.316	12.9433	12.5956	32.4296	28.768	12.0947
XLOC_000245	3.29497	17.9022	10.7573	0	0	0	0.858736	0.995639	1.25956	0	0	0
XLOC_000246	3077.5	3255.75	3135.76	219.413	297.342	268.26	2450.83	2854.5	2182.82	211.951	127.512	184.978
XLOC_000248	297.646	221.336	208.871	66.7778	56.917	101.443	166.595	208.089	137.292	136.668	89.414	121.659
XLOC_000249	107.636	142.403	105.78	54.8532	68.6929	65.3742	89.3086	65.7122	89.4289	103.08	69.9761	78.2599
XLOC_000251	5.49162	0.813734	3.58577	0	0	0	0	7.96512	0	2.3164	0	2.84582
XLOC_000255	27.4581	41.5004	51.0972	36.9663	34.3464	37.1957	43.7956	41.8169	45.3443	66.0175	64.5336	59.7621
XLOC_000263	0	0.813734	6.2751	0	0	0	4.29368	0.995639	1.25956	1.1582	1.55503	0.711454
XLOC_000273	512.917	341.768	398.917	0	0	1.12714	7.72863	6.96948	1.25956	1.1582	1.55503	3.55727
XLOC_000281	177.928	205.875	200.803	208.681	214.911	200.631	81.5799	103.546	85.6503	142.459	130.622	128.062
