C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105345787-XLOC_029887-dual_specificity_mitogen-activated_protein_kinase_kinase_4	-0.265111582682257	0.114889199521167	-0.816965559808622	0.967187942969709
LOC105339236-XLOC_004626-dual_specificity_mitogen-activated_protein_kinase_kinase_7	0.590024720063584	-0.917928626868049	-0.16534116104798	0.493245067852442
LOC105344429-XLOC_033618-dual_specificity_protein_phosphatase_1-A	0.336477551339779	-0.709272621324504	1.41827421773016	-1.04547914774543
LOC105347192-XLOC_033462-dual_specificity_protein_phosphatase_4	0.9353113301215	-0.0847559500031165	-0.3112203381272	-0.53933504199118
LOC105348544-XLOC_025555-insulin-like_peptide_receptor	-1.38540041163994	0.936298878109886	-0.684408080768243	1.1335096142983
LOC105339254-XLOC_021183-protein_phosphatase_1B	-0.239306651437518	0.536723370766025	-0.0194119596887399	-0.278004759639767
LOC105340117-XLOC_017860-serine/threonine-protein_kinase_3	0.466177014679177	0.353944555104981	0.12612722444249	-0.946248794226648
LOC105329587-XLOC_032600-serine/threonine-protein_kinase_PAK_3	0.17994124405525	0.597985489910156	-0.111452203949746	-0.666474530015661
LOC105341794-XLOC_025384-sprouty-related,_EVH1_domain-containing_protein_2	0.430064286318812	0.636083099982041	-0.449161782082653	-0.616985604218199
LOC105338795-XLOC_030644-stress-activated_protein_kinase_JNK	-3.44544416302503	1.83781832181254	-3.44544416302503	5.05307000423751
LOC105327844-XLOC_010144	0.73836405787301	0.683087143191042	-1.34697537610529	-0.0744758249587649
LOC105327844-XLOC_012811	0.149601729523122	-0.230913350785841	0.602347820892406	-0.521036199629688
