E_38_0	E_38_1	E_38_2	E_51_1	E_51_2	E_51_0	C_38_0	C_38_2	C_38_1	C_51_2	C_51_0	C_51_1
E_38_0	1	0.649428663225339	0.61876628864763	-0.29716650810189	-0.378859414158433	-0.260860338321668	0.0321137278631673	0.116968149839376	-0.0743152195819386	-0.466417725889385	-0.456395577727941	-0.50955587430612
E_38_1	0.649428663225339	1	0.740955266520548	-0.438575480374708	-0.465798965741939	-0.410234706608293	0.101490019529743	0.151557376188122	0.0187947728113813	-0.452403471246903	-0.464707725272461	-0.431525929726699
E_38_2	0.61876628864763	0.740955266520548	1	-0.417080749552383	-0.453916479878038	-0.407760871579984	0.145690396206643	0.162543601502283	0.0704199858725734	-0.479814732735437	-0.496267561331452	-0.468692619906985
E_51_1	-0.29716650810189	-0.438575480374708	-0.417080749552383	1	0.526771788149902	0.579398550951947	-0.400522300421131	-0.369130741511258	-0.322797018834134	0.0820207957895384	0.0938702736912025	0.00329021118664816
E_51_2	-0.378859414158433	-0.465798965741939	-0.453916479878038	0.526771788149902	1	0.484174418038654	-0.424873832888172	-0.427928165464259	-0.340215815882535	0.1809805727432	0.179235284691117	0.158930329136443
E_51_0	-0.260860338321668	-0.410234706608293	-0.407760871579984	0.579398550951947	0.484174418038654	1	-0.320291806272715	-0.28458130557458	-0.25095016970108	-0.00530195162647509	0.0174729048725109	-0.0666587283183629
C_38_0	0.0321137278631673	0.101490019529743	0.145690396206643	-0.400522300421131	-0.424873832888172	-0.320291806272715	1	0.672034432698842	0.648697976502338	-0.426499580836844	-0.471472451199599	-0.407226632825574
C_38_2	0.116968149839376	0.151557376188122	0.162543601502283	-0.369130741511258	-0.427928165464259	-0.28458130557458	0.672034432698842	1	0.583133992453323	-0.49712499435861	-0.488455007524192	-0.467335372840657
C_38_1	-0.0743152195819386	0.0187947728113813	0.0704199858725734	-0.322797018834134	-0.340215815882535	-0.25095016970108	0.648697976502338	0.583133992453323	1	-0.386637849614021	-0.42466832151428	-0.343816651761324
C_51_2	-0.466417725889385	-0.452403471246903	-0.479814732735437	0.0820207957895384	0.1809805727432	-0.00530195162647509	-0.426499580836844	-0.49712499435861	-0.386637849614021	1	0.62356066981722	0.638043470834414
C_51_0	-0.456395577727941	-0.464707725272461	-0.496267561331452	0.0938702736912025	0.179235284691117	0.0174729048725109	-0.471472451199599	-0.488455007524192	-0.42466832151428	0.62356066981722	1	0.714167932381125
C_51_1	-0.50955587430612	-0.431525929726699	-0.468692619906985	0.00329021118664816	0.158930329136443	-0.0666587283183629	-0.407226632825574	-0.467335372840657	-0.343816651761324	0.638043470834414	0.714167932381125	1
