#gene_id	transcript_id	gene	oId	cmp_ref	cmp_ref_gene	DAVID_Gene	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000024	TCONS_00000008	-	CUFF.26.2	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	C_38	C_51	OK	1237.51	331.184	-1.90173	-2.72128	0.0003	0.0143316	yes
XLOC_000024	TCONS_00001118	-	CUFF.18.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	C_38	C_51	OK	1237.51	331.184	-1.90173	-2.72128	0.0003	0.0143316	yes
XLOC_000024	TCONS_00001742	-	CUFF.11.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	C_38	C_51	OK	1237.51	331.184	-1.90173	-2.72128	0.0003	0.0143316	yes
XLOC_000024	TCONS_00003505	-	CUFF.26.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	C_38	C_51	OK	1237.51	331.184	-1.90173	-2.72128	0.0003	0.0143316	yes
XLOC_000024	TCONS_00004449	-	CUFF.16.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	C_38	C_51	OK	1237.51	331.184	-1.90173	-2.72128	0.0003	0.0143316	yes
XLOC_000024	TCONS_00005116	-	CUFF.26.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	C_38	C_51	OK	1237.51	331.184	-1.90173	-2.72128	0.0003	0.0143316	yes
XLOC_000024	TCONS_00005465	-	CUFF.26.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	C_38	C_51	OK	1237.51	331.184	-1.90173	-2.72128	0.0003	0.0143316	yes
XLOC_000024	TCONS_00005896	-	CUFF.18.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	C_38	C_51	OK	1237.51	331.184	-1.90173	-2.72128	0.0003	0.0143316	yes
XLOC_000145	TCONS_00000066	-	CUFF.90.1	rna-XM_011423900.4	LOC105324739	LOC105324739	XLOC_000145	-	NC_088853.1:5679919-5680307	C_38	C_51	OK	99.0801	186.621	0.913443	2.03509	0.00145	0.045945	yes
XLOC_000154	TCONS_00000075	-	CUFF.126.1	-	-	-	XLOC_000154	-	NC_088853.1:6613248-6618949	C_38	C_51	OK	4023.96	2297.35	-0.808642	-2.48211	5e-05	0.003229	yes
XLOC_000154	TCONS_00000076	-	CUFF.125.1	-	-	-	XLOC_000154	-	NC_088853.1:6613248-6618949	C_38	C_51	OK	4023.96	2297.35	-0.808642	-2.48211	5e-05	0.003229	yes
XLOC_000154	TCONS_00000077	-	CUFF.175.1	rna-XR_010713040.1	LOC117687695	LOC117687695	XLOC_000154	-	NC_088853.1:6613248-6618949	C_38	C_51	OK	4023.96	2297.35	-0.808642	-2.48211	5e-05	0.003229	yes
XLOC_000154	TCONS_00001153	-	CUFF.104.1	-	-	-	XLOC_000154	-	NC_088853.1:6613248-6618949	C_38	C_51	OK	4023.96	2297.35	-0.808642	-2.48211	5e-05	0.003229	yes
XLOC_000154	TCONS_00001154	-	CUFF.135.1	rna-XR_010713040.1	LOC117687695	LOC117687695	XLOC_000154	-	NC_088853.1:6613248-6618949	C_38	C_51	OK	4023.96	2297.35	-0.808642	-2.48211	5e-05	0.003229	yes
XLOC_000154	TCONS_00001781	-	CUFF.174.1	-	-	-	XLOC_000154	-	NC_088853.1:6613248-6618949	C_38	C_51	OK	4023.96	2297.35	-0.808642	-2.48211	5e-05	0.003229	yes
XLOC_000154	TCONS_00001782	-	CUFF.145.1	-	-	-	XLOC_000154	-	NC_088853.1:6613248-6618949	C_38	C_51	OK	4023.96	2297.35	-0.808642	-2.48211	5e-05	0.003229	yes
XLOC_000154	TCONS_00001783	-	CUFF.144.1	-	-	-	XLOC_000154	-	NC_088853.1:6613248-6618949	C_38	C_51	OK	4023.96	2297.35	-0.808642	-2.48211	5e-05	0.003229	yes
