#gene_id	transcript_id	gene	oId	cmp_ref	cmp_ref_gene	DAVID_Gene	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000004	TCONS_00000001	-	CUFF.2.1	rna-XR_010711001.1	LOC136272934	LOC136272934	XLOC_000004	-	NC_088853.1:325837-326823	E_38	E_51	OK	22.9021	188.856	3.04373	3.03151	0.0005	0.0210632	yes
XLOC_000004	TCONS_00000001	-	CUFF.2.1	rna-XR_010711001.1	LOC136272934	LOC136272934	XLOC_000004	-	NC_088853.1:325837-326823	E_51	C_51	OK	188.856	17.9241	-3.39731	-2.99086	0.0004	0.0179397	yes
XLOC_000004	TCONS_00005115	-	CUFF.8.1	rna-XR_010711002.1	LOC136272934	LOC136272934	XLOC_000004	-	NC_088853.1:325837-326823	E_38	E_51	OK	22.9021	188.856	3.04373	3.03151	0.0005	0.0210632	yes
XLOC_000004	TCONS_00005115	-	CUFF.8.1	rna-XR_010711002.1	LOC136272934	LOC136272934	XLOC_000004	-	NC_088853.1:325837-326823	E_51	C_51	OK	188.856	17.9241	-3.39731	-2.99086	0.0004	0.0179397	yes
XLOC_000004	TCONS_00005462	-	CUFF.4.1	rna-XR_010711002.1	LOC136272934	LOC136272934	XLOC_000004	-	NC_088853.1:325837-326823	E_38	E_51	OK	22.9021	188.856	3.04373	3.03151	0.0005	0.0210632	yes
XLOC_000004	TCONS_00005462	-	CUFF.4.1	rna-XR_010711002.1	LOC136272934	LOC136272934	XLOC_000004	-	NC_088853.1:325837-326823	E_51	C_51	OK	188.856	17.9241	-3.39731	-2.99086	0.0004	0.0179397	yes
XLOC_000024	TCONS_00000008	-	CUFF.26.2	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	C_38	C_51	OK	1237.51	331.184	-1.90173	-2.72128	0.0003	0.0143316	yes
XLOC_000024	TCONS_00000008	-	CUFF.26.2	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	C_51	OK	1621.28	331.184	-2.29143	-3.33218	5e-05	0.003229	yes
XLOC_000024	TCONS_00000008	-	CUFF.26.2	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	E_51	OK	1621.28	396.494	-2.03176	-2.6705	0.0001	0.00585342	yes
XLOC_000024	TCONS_00000008	-	CUFF.26.2	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_51	C_38	OK	396.494	1237.51	1.64207	2.12998	0.0014	0.044896	yes
XLOC_000024	TCONS_00001118	-	CUFF.18.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	C_38	C_51	OK	1237.51	331.184	-1.90173	-2.72128	0.0003	0.0143316	yes
XLOC_000024	TCONS_00001118	-	CUFF.18.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	C_51	OK	1621.28	331.184	-2.29143	-3.33218	5e-05	0.003229	yes
XLOC_000024	TCONS_00001118	-	CUFF.18.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	E_51	OK	1621.28	396.494	-2.03176	-2.6705	0.0001	0.00585342	yes
XLOC_000024	TCONS_00001118	-	CUFF.18.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_51	C_38	OK	396.494	1237.51	1.64207	2.12998	0.0014	0.044896	yes
XLOC_000024	TCONS_00001742	-	CUFF.11.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	C_38	C_51	OK	1237.51	331.184	-1.90173	-2.72128	0.0003	0.0143316	yes
