#gene_id	transcript_id	gene	oId	cmp_ref	cmp_ref_gene	DAVID_Gene	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000024	TCONS_00000008	-	CUFF.26.2	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	C_51	OK	1621.28	331.184	-2.29143	-3.33218	5e-05	0.003229	yes
XLOC_000024	TCONS_00001118	-	CUFF.18.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	C_51	OK	1621.28	331.184	-2.29143	-3.33218	5e-05	0.003229	yes
XLOC_000024	TCONS_00001742	-	CUFF.11.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	C_51	OK	1621.28	331.184	-2.29143	-3.33218	5e-05	0.003229	yes
XLOC_000024	TCONS_00003505	-	CUFF.26.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	C_51	OK	1621.28	331.184	-2.29143	-3.33218	5e-05	0.003229	yes
XLOC_000024	TCONS_00004449	-	CUFF.16.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	C_51	OK	1621.28	331.184	-2.29143	-3.33218	5e-05	0.003229	yes
XLOC_000024	TCONS_00005116	-	CUFF.26.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	C_51	OK	1621.28	331.184	-2.29143	-3.33218	5e-05	0.003229	yes
XLOC_000024	TCONS_00005465	-	CUFF.26.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	C_51	OK	1621.28	331.184	-2.29143	-3.33218	5e-05	0.003229	yes
XLOC_000024	TCONS_00005896	-	CUFF.18.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	C_51	OK	1621.28	331.184	-2.29143	-3.33218	5e-05	0.003229	yes
XLOC_000029	TCONS_00000011	-	CUFF.47.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	C_51	OK	877.265	2458.91	1.48693	4.13818	5e-05	0.003229	yes
XLOC_000029	TCONS_00000012	-	CUFF.40.1	rna-XM_011431378.4	LOC105329892	LOC105329892	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	C_51	OK	877.265	2458.91	1.48693	4.13818	5e-05	0.003229	yes
XLOC_000029	TCONS_00002408	-	CUFF.20.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	C_51	OK	877.265	2458.91	1.48693	4.13818	5e-05	0.003229	yes
XLOC_000029	TCONS_00002409	-	CUFF.22.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	C_51	OK	877.265	2458.91	1.48693	4.13818	5e-05	0.003229	yes
