#gene_id	transcript_id	gene	oId	cmp_ref	cmp_ref_gene	DAVID_Gene	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000029	TCONS_00000011	-	CUFF.47.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	C_38	OK	877.265	1644.58	0.906638	2.4188	5e-05	0.003229	yes
XLOC_000029	TCONS_00000012	-	CUFF.40.1	rna-XM_011431378.4	LOC105329892	LOC105329892	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	C_38	OK	877.265	1644.58	0.906638	2.4188	5e-05	0.003229	yes
XLOC_000029	TCONS_00002408	-	CUFF.20.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	C_38	OK	877.265	1644.58	0.906638	2.4188	5e-05	0.003229	yes
XLOC_000029	TCONS_00002409	-	CUFF.22.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	C_38	OK	877.265	1644.58	0.906638	2.4188	5e-05	0.003229	yes
XLOC_000029	TCONS_00002410	-	CUFF.21.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	C_38	OK	877.265	1644.58	0.906638	2.4188	5e-05	0.003229	yes
XLOC_000029	TCONS_00004878	-	CUFF.27.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	C_38	OK	877.265	1644.58	0.906638	2.4188	5e-05	0.003229	yes
XLOC_000029	TCONS_00005897	-	CUFF.31.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	C_38	OK	877.265	1644.58	0.906638	2.4188	5e-05	0.003229	yes
XLOC_000106	TCONS_00002416	-	CUFF.59.1	rna-XR_010711290.1	LOC105330869	LOC105330869	XLOC_000106	-	NC_088853.1:5002582-5004137	E_38	C_38	OK	216.733	63.1681	-1.77865	-3.83951	5e-05	0.003229	yes
XLOC_000106	TCONS_00002417	-	CUFF.86.1	rna-XR_010711290.1	LOC105330869	LOC105330869	XLOC_000106	-	NC_088853.1:5002582-5004137	E_38	C_38	OK	216.733	63.1681	-1.77865	-3.83951	5e-05	0.003229	yes
XLOC_000106	TCONS_00005476	-	CUFF.92.1	rna-XR_010711290.1	LOC105330869	LOC105330869	XLOC_000106	-	NC_088853.1:5002582-5004137	E_38	C_38	OK	216.733	63.1681	-1.77865	-3.83951	5e-05	0.003229	yes
