#gene_id	transcript_id	gene	oId	cmp_ref	cmp_ref_gene	DAVID_Gene	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000004	TCONS_00000001	-	CUFF.2.1	rna-XR_010711001.1	LOC136272934	LOC136272934	XLOC_000004	-	NC_088853.1:325837-326823	E_38	E_51	OK	22.9021	188.856	3.04373	3.03151	0.0005	0.0210632	yes
XLOC_000004	TCONS_00005115	-	CUFF.8.1	rna-XR_010711002.1	LOC136272934	LOC136272934	XLOC_000004	-	NC_088853.1:325837-326823	E_38	E_51	OK	22.9021	188.856	3.04373	3.03151	0.0005	0.0210632	yes
XLOC_000004	TCONS_00005462	-	CUFF.4.1	rna-XR_010711002.1	LOC136272934	LOC136272934	XLOC_000004	-	NC_088853.1:325837-326823	E_38	E_51	OK	22.9021	188.856	3.04373	3.03151	0.0005	0.0210632	yes
XLOC_000024	TCONS_00000008	-	CUFF.26.2	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	E_51	OK	1621.28	396.494	-2.03176	-2.6705	0.0001	0.00585342	yes
XLOC_000024	TCONS_00001118	-	CUFF.18.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	E_51	OK	1621.28	396.494	-2.03176	-2.6705	0.0001	0.00585342	yes
XLOC_000024	TCONS_00001742	-	CUFF.11.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	E_51	OK	1621.28	396.494	-2.03176	-2.6705	0.0001	0.00585342	yes
XLOC_000024	TCONS_00003505	-	CUFF.26.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	E_51	OK	1621.28	396.494	-2.03176	-2.6705	0.0001	0.00585342	yes
XLOC_000024	TCONS_00004449	-	CUFF.16.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	E_51	OK	1621.28	396.494	-2.03176	-2.6705	0.0001	0.00585342	yes
XLOC_000024	TCONS_00005116	-	CUFF.26.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	E_51	OK	1621.28	396.494	-2.03176	-2.6705	0.0001	0.00585342	yes
XLOC_000024	TCONS_00005465	-	CUFF.26.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	E_51	OK	1621.28	396.494	-2.03176	-2.6705	0.0001	0.00585342	yes
XLOC_000024	TCONS_00005896	-	CUFF.18.1	rna-XM_066076436.1	LOC109619215	LOC109619215	XLOC_000024	-	NC_088853.1:2036657-2038785	E_38	E_51	OK	1621.28	396.494	-2.03176	-2.6705	0.0001	0.00585342	yes
XLOC_000029	TCONS_00000011	-	CUFF.47.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	E_51	OK	877.265	1901.53	1.11607	2.99599	5e-05	0.003229	yes
XLOC_000029	TCONS_00000012	-	CUFF.40.1	rna-XM_011431378.4	LOC105329892	LOC105329892	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	E_51	OK	877.265	1901.53	1.11607	2.99599	5e-05	0.003229	yes
XLOC_000029	TCONS_00002408	-	CUFF.20.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	E_51	OK	877.265	1901.53	1.11607	2.99599	5e-05	0.003229	yes
XLOC_000029	TCONS_00002409	-	CUFF.22.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	E_51	OK	877.265	1901.53	1.11607	2.99599	5e-05	0.003229	yes
XLOC_000029	TCONS_00002410	-	CUFF.21.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	E_51	OK	877.265	1901.53	1.11607	2.99599	5e-05	0.003229	yes
XLOC_000029	TCONS_00004878	-	CUFF.27.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	E_51	OK	877.265	1901.53	1.11607	2.99599	5e-05	0.003229	yes
XLOC_000029	TCONS_00005897	-	CUFF.31.1	-	-	-	XLOC_000029	-	NC_088853.1:2942008-2943412	E_38	E_51	OK	877.265	1901.53	1.11607	2.99599	5e-05	0.003229	yes
XLOC_000030	TCONS_00000013	-	CUFF.48.1	rna-XM_011431378.4	LOC105329892	LOC105329892	XLOC_000030	-	NC_088853.1:2945619-2946953	E_38	E_51	OK	424.136	1142.73	1.42988	2.18442	0.00015	0.00823588	yes
XLOC_000030	TCONS_00001119	-	CUFF.33.2	rna-XM_011431378.4	LOC105329892	LOC105329892	XLOC_000030	-	NC_088853.1:2945619-2946953	E_38	E_51	OK	424.136	1142.73	1.42988	2.18442	0.00015	0.00823588	yes
XLOC_000030	TCONS_00002863	-	CUFF.33.1	rna-XM_011431378.4	LOC105329892	LOC105329892	XLOC_000030	-	NC_088853.1:2945619-2946953	E_38	E_51	OK	424.136	1142.73	1.42988	2.18442	0.00015	0.00823588	yes
XLOC_000030	TCONS_00004181	-	CUFF.26.2	rna-XM_011431378.4	LOC105329892	LOC105329892	XLOC_000030	-	NC_088853.1:2945619-2946953	E_38	E_51	OK	424.136	1142.73	1.42988	2.18442	0.00015	0.00823588	yes
XLOC_000032	TCONS_00002864	-	CUFF.53.1	-	-	-	XLOC_000032	-	NC_088853.1:3009591-3010053	E_38	E_51	OK	97.0228	0	-inf	-nan	5e-05	0.003229	yes
