#gene_id	transcript_id	gene	oId	cmp_ref	cmp_ref_gene	DAVID_Gene	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000004	TCONS_00000001	-	CUFF.2.1	rna-XR_010711001.1	LOC136272934	LOC136272934	XLOC_000004	-	NC_088853.1:325837-326823	E_51	C_51	OK	188.856	17.9241	-3.39731	-2.99086	0.0004	0.0179397	yes
XLOC_000004	TCONS_00005115	-	CUFF.8.1	rna-XR_010711002.1	LOC136272934	LOC136272934	XLOC_000004	-	NC_088853.1:325837-326823	E_51	C_51	OK	188.856	17.9241	-3.39731	-2.99086	0.0004	0.0179397	yes
XLOC_000004	TCONS_00005462	-	CUFF.4.1	rna-XR_010711002.1	LOC136272934	LOC136272934	XLOC_000004	-	NC_088853.1:325837-326823	E_51	C_51	OK	188.856	17.9241	-3.39731	-2.99086	0.0004	0.0179397	yes
XLOC_000032	TCONS_00002864	-	CUFF.53.1	-	-	-	XLOC_000032	-	NC_088853.1:3009591-3010053	E_51	C_51	OK	0	328.976	inf	-nan	5e-05	0.003229	yes
XLOC_000032	TCONS_00003507	-	CUFF.37.1	-	-	-	XLOC_000032	-	NC_088853.1:3009591-3010053	E_51	C_51	OK	0	328.976	inf	-nan	5e-05	0.003229	yes
XLOC_000033	TCONS_00002865	-	CUFF.38.1	-	-	-	XLOC_000033	-	NC_088853.1:3010594-3010791	E_51	C_51	OK	0	293.069	inf	-nan	5e-05	0.003229	yes
XLOC_000102	TCONS_00002883	-	CUFF.113.1	rna-XM_066081286.1	LOC105344551	LOC105344551	XLOC_000102	-	NC_088853.1:4780638-4780853	E_51	C_51	OK	0	57.2718	inf	-nan	5e-05	0.003229	yes
XLOC_000165	TCONS_00000081	-	CUFF.190.1	rna-XM_066082295.1	LOC105317044	LOC105317044	XLOC_000165	-	NC_088853.1:8832801-8833400	E_51	C_51	OK	3970.86	6010.07	0.597929	1.84688	0.00115	0.0390532	yes
XLOC_000165	TCONS_00001158	-	CUFF.139.1	rna-XM_066082295.1	LOC105317044	LOC105317044	XLOC_000165	-	NC_088853.1:8832801-8833400	E_51	C_51	OK	3970.86	6010.07	0.597929	1.84688	0.00115	0.0390532	yes
XLOC_000165	TCONS_00003542	-	CUFF.213.1	rna-XM_066082295.1	LOC105317044	LOC105317044	XLOC_000165	-	NC_088853.1:8832801-8833400	E_51	C_51	OK	3970.86	6010.07	0.597929	1.84688	0.00115	0.0390532	yes
XLOC_000188	TCONS_00000086	-	CUFF.154.1	-	-	-	XLOC_000188	-	NC_088853.1:11046320-11046842	E_51	C_51	OK	69.3611	23.3013	-1.57372	-2.56535	0.00035	0.0161654	yes
XLOC_000212	TCONS_00000092	-	CUFF.167.1	rna-XR_010711334.1	LOC105326185	LOC105326185	XLOC_000212	-	NC_088853.1:12377119-12379147	E_51	C_51	OK	2110.52	9247.45	2.13146	4.78431	5e-05	0.003229	yes
XLOC_000212	TCONS_00000093	-	CUFF.167.1	rna-XR_010711334.1	LOC105326185	LOC105326185	XLOC_000212	-	NC_088853.1:12377119-12379147	E_51	C_51	OK	2110.52	9247.45	2.13146	4.78431	5e-05	0.003229	yes
XLOC_000212	TCONS_00001165	-	CUFF.167.2	rna-XR_010711334.1	LOC105326185	LOC105326185	XLOC_000212	-	NC_088853.1:12377119-12379147	E_51	C_51	OK	2110.52	9247.45	2.13146	4.78431	5e-05	0.003229	yes
XLOC_000212	TCONS_00001799	-	CUFF.241.1	rna-XR_010711334.1	LOC105326185	LOC105326185	XLOC_000212	-	NC_088853.1:12377119-12379147	E_51	C_51	OK	2110.52	9247.45	2.13146	4.78431	5e-05	0.003229	yes
XLOC_000212	TCONS_00004477	-	CUFF.221.1	rna-XR_010711334.1	LOC105326185	LOC105326185	XLOC_000212	-	NC_088853.1:12377119-12379147	E_51	C_51	OK	2110.52	9247.45	2.13146	4.78431	5e-05	0.003229	yes
XLOC_000212	TCONS_00004895	-	CUFF.140.1	rna-XR_010711334.1	LOC105326185	LOC105326185	XLOC_000212	-	NC_088853.1:12377119-12379147	E_51	C_51	OK	2110.52	9247.45	2.13146	4.78431	5e-05	0.003229	yes
XLOC_000212	TCONS_00005916	-	CUFF.178.1	rna-XR_010711334.1	LOC105326185	LOC105326185	XLOC_000212	-	NC_088853.1:12377119-12379147	E_51	C_51	OK	2110.52	9247.45	2.13146	4.78431	5e-05	0.003229	yes
XLOC_000212	TCONS_00005917	-	CUFF.177.1	rna-XR_010711334.1	LOC105326185	LOC105326185	XLOC_000212	-	NC_088853.1:12377119-12379147	E_51	C_51	OK	2110.52	9247.45	2.13146	4.78431	5e-05	0.003229	yes
XLOC_000213	TCONS_00000094	-	CUFF.242.1	rna-XR_004599034.2	LOC105325371	LOC105325371	XLOC_000213	-	NC_088853.1:12384255-12385752	E_51	C_51	OK	293.927	892.23	1.60196	5.71769	5e-05	0.003229	yes
XLOC_000213	TCONS_00004896	-	CUFF.141.1	rna-XR_004599034.2	LOC105325371	LOC105325371	XLOC_000213	-	NC_088853.1:12384255-12385752	E_51	C_51	OK	293.927	892.23	1.60196	5.71769	5e-05	0.003229	yes
XLOC_000213	TCONS_00005139	-	CUFF.194.2	rna-XR_004599034.2	LOC105325371	LOC105325371	XLOC_000213	-	NC_088853.1:12384255-12385752	E_51	C_51	OK	293.927	892.23	1.60196	5.71769	5e-05	0.003229	yes
XLOC_000214	TCONS_00004897	-	CUFF.142.1	rna-XR_010711336.1	LOC136273141	LOC136273141	XLOC_000214	-	NC_088853.1:12394922-12395659	E_51	C_51	OK	62.8579	130.341	1.05213	2.16291	0.00095	0.0340254	yes
XLOC_000216	TCONS_00000095	-	CUFF.170.1	rna-XM_066085141.1	LOC136275568	LOC136275568	XLOC_000216	-	NC_088853.1:12439847-12442366	E_51	C_51	OK	32.9509	75.4082	1.1944	1.94172	0.001	0.0352919	yes
XLOC_000216	TCONS_00001166	-	CUFF.253.2	rna-XM_066085141.1	LOC136275568	LOC136275568	XLOC_000216	-	NC_088853.1:12439847-12442366	E_51	C_51	OK	32.9509	75.4082	1.1944	1.94172	0.001	0.0352919	yes
XLOC_000216	TCONS_00001800	-	CUFF.212.1	rna-XM_066085141.1	LOC136275568	LOC136275568	XLOC_000216	-	NC_088853.1:12439847-12442366	E_51	C_51	OK	32.9509	75.4082	1.1944	1.94172	0.001	0.0352919	yes
XLOC_000216	TCONS_00002913	-	CUFF.253.3	rna-XM_066085141.1	LOC136275568	LOC136275568	XLOC_000216	-	NC_088853.1:12439847-12442366	E_51	C_51	OK	32.9509	75.4082	1.1944	1.94172	0.001	0.0352919	yes
XLOC_000216	TCONS_00003553	-	CUFF.253.1	rna-XM_066085141.1	LOC136275568	LOC136275568	XLOC_000216	-	NC_088853.1:12439847-12442366	E_51	C_51	OK	32.9509	75.4082	1.1944	1.94172	0.001	0.0352919	yes
XLOC_000217	TCONS_00000096	-	CUFF.201.1	rna-XM_011420678.4	LOC105322139	LOC105322139	XLOC_000217	-	NC_088853.1:12469041-12494670	E_51	C_51	OK	359.379	666.797	0.891742	3.45381	5e-05	0.003229	yes
XLOC_000217	TCONS_00000097	-	CUFF.172.1	rna-XM_011420678.4	LOC105322139	LOC105322139	XLOC_000217	-	NC_088853.1:12469041-12494670	E_51	C_51	OK	359.379	666.797	0.891742	3.45381	5e-05	0.003229	yes
XLOC_000217	TCONS_00000098	-	CUFF.172.3	rna-XM_066085144.1	LOC136275572	LOC136275572	XLOC_000217	-	NC_088853.1:12469041-12494670	E_51	C_51	OK	359.379	666.797	0.891742	3.45381	5e-05	0.003229	yes
XLOC_000217	TCONS_00001167	-	CUFF.249.2	rna-XM_011420678.4	LOC105322139	LOC105322139	XLOC_000217	-	NC_088853.1:12469041-12494670	E_51	C_51	OK	359.379	666.797	0.891742	3.45381	5e-05	0.003229	yes
XLOC_000217	TCONS_00001168	-	CUFF.170.1	rna-XM_066085144.1	LOC136275572	LOC136275572	XLOC_000217	-	NC_088853.1:12469041-12494670	E_51	C_51	OK	359.379	666.797	0.891742	3.45381	5e-05	0.003229	yes
XLOC_000217	TCONS_00001801	-	CUFF.249.3	rna-XM_066085144.1	LOC136275572	LOC136275572	XLOC_000217	-	NC_088853.1:12469041-12494670	E_51	C_51	OK	359.379	666.797	0.891742	3.45381	5e-05	0.003229	yes
XLOC_000217	TCONS_00002914	-	CUFF.249.1	rna-XM_011420678.4	LOC105322139	LOC105322139	XLOC_000217	-	NC_088853.1:12469041-12494670	E_51	C_51	OK	359.379	666.797	0.891742	3.45381	5e-05	0.003229	yes
XLOC_000217	TCONS_00003554	-	CUFF.257.1	rna-XM_066085144.1	LOC136275572	LOC136275572	XLOC_000217	-	NC_088853.1:12469041-12494670	E_51	C_51	OK	359.379	666.797	0.891742	3.45381	5e-05	0.003229	yes
XLOC_000217	TCONS_00004199	-	CUFF.174.1	rna-XM_066085144.1	LOC136275572	LOC136275572	XLOC_000217	-	NC_088853.1:12469041-12494670	E_51	C_51	OK	359.379	666.797	0.891742	3.45381	5e-05	0.003229	yes
